Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Durham-Chapel Hill, NC Metro Area",31707,6781,57,59,1140,270,10421,2598,212,117,1288,3752,95,71,42,185,0,391,86,405,209,2268,15,1245
"East Stroudsburg, PA Metro Area",5053,1248,234,0,0,104,1139,1320,0,0,66,276,0,40,0,0,0,139,0,7,93,67,0,320
"Eau Claire, WI Metro Area",5312,215,8,0,0,7,661,830,2690,0,71,468,5,4,0,19,0,73,0,0,41,160,0,60
"El Centro, CA Metro Area",4558,668,0,0,39,41,1097,1373,8,96,493,465,5,0,0,0,0,34,0,0,2,103,0,134
"Elizabethtown-Fort Knox, KY Metro Area",3913,235,0,0,110,209,478,567,0,0,410,1098,41,0,0,88,0,263,0,0,223,68,0,123
"Elkhart-Goshen, IN Metro Area",2919,363,0,0,0,159,695,395,0,91,96,293,309,11,0,6,58,66,0,0,122,197,0,58
"Elmira, NY Metro Area",1680,295,19,0,13,0,342,181,0,10,60,182,21,0,0,0,3,345,0,20,48,25,0,116
"El Paso, TX Metro Area",15537,1706,55,0,0,131,2182,4575,91,37,1596,2914,26,22,0,140,0,180,0,303,86,757,0,736
"Enid, OK Metro Area",1065,71,0,0,2,0,87,128,0,0,306,169,57,0,0,0,16,31,0,0,68,28,0,102
"Erie, PA Metro Area",5875,1114,10,640,44,16,1194,612,0,10,257,469,0,44,0,522,0,38,0,9,80,351,0,465
"Eugene, OR Metro Area",16027,970,68,0,15,228,4081,2575,8,373,2821,2364,208,16,63,46,6,100,28,182,243,1027,0,605
"Evansville, IN-KY Metro Area",5375,873,0,0,7,32,922,1184,0,70,523,551,8,45,0,131,0,308,0,37,152,475,0,57
"Fairbanks, AK Metro Area",4847,137,0,0,0,0,499,1688,27,24,515,821,254,0,49,92,11,6,0,0,449,87,0,188
"Fargo, ND-MN Metro Area",7827,1147,68,398,0,20,1771,729,101,14,498,634,1,38,4,555,0,144,121,38,118,722,0,706
"Farmington, NM Metro Area",1140,97,0,0,0,0,180,372,0,6,152,99,5,0,0,16,0,13,0,0,30,58,0,112
"Fayetteville, NC Metro Area",14788,1475,9,0,0,49,1613,2880,108,31,1430,3462,199,33,37,217,18,37,61,29,830,1711,0,559
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",18349,6113,466,0,0,120,2016,2117,865,46,613,1089,1749,91,19,37,19,310,26,137,515,1368,0,633
"Flagstaff, AZ Metro Area",3822,290,0,0,0,21,1189,685,4,164,430,261,29,0,0,84,10,38,28,21,147,277,0,144
"Flint, MI Metro Area",5869,2039,0,0,6,23,1090,1173,0,0,210,675,0,0,0,4,0,44,16,49,104,96,0,340
"Florence, SC Metro Area",2608,906,0,0,39,0,510,611,0,0,94,181,0,0,0,0,0,31,0,76,23,49,0,88
"Florence-Muscle Shoals, AL Metro Area",1202,285,0,0,0,0,122,216,0,0,62,165,22,0,0,58,15,9,0,10,123,47,0,68
"Fond du Lac, WI Metro Area",1792,787,0,0,25,16,126,268,61,12,165,151,0,0,0,0,21,61,0,0,12,79,0,8
"Fort Collins, CO Metro Area",11190,1796,0,0,0,16,3149,1344,33,38,1459,1523,44,11,109,72,0,57,15,97,337,565,0,525
"Fort Smith, AR-OK Metro Area",8528,433,0,0,1,180,231,1009,43,2,489,189,2544,0,0,0,0,231,0,0,276,2465,0,435
"Fort Wayne, IN Metro Area",15635,2746,33,0,3427,84,1291,1124,10,15,406,1095,628,0,0,0,0,443,4,34,1087,1769,0,1439
"Fresno, CA Metro Area",112886,21925,8,0,209,6150,8086,14160,33418,361,7683,2352,8937,156,0,135,0,398,58,297,691,5259,0,2603
"Gadsden, AL Metro Area",929,163,0,0,0,0,290,219,0,0,6,33,0,0,0,27,0,0,0,0,142,42,0,7
"Gainesville, FL Metro Area",18270,4498,85,0,7,99,4724,2271,18,111,628,1874,81,87,22,80,0,469,68,269,351,2122,0,406
"Gainesville, GA Metro Area",4382,749,0,0,0,0,577,343,0,16,224,469,131,0,0,0,0,16,0,8,25,1658,0,166
"Gettysburg, PA Metro Area",1194,61,0,0,57,0,267,394,0,10,68,105,31,0,0,10,0,48,0,0,57,41,0,45
"Glens Falls, NY Metro Area",1222,221,0,0,0,0,302,254,0,6,133,173,5,0,0,0,0,0,0,0,11,88,0,29
"Goldsboro, NC Metro Area",2540,267,0,0,4,0,446,637,4,16,459,256,6,0,0,34,0,19,0,0,34,85,0,273
"Grand Forks, ND-MN Metro Area",2669,307,12,262,0,5,583,365,66,0,202,252,0,0,0,247,0,85,92,5,41,78,2,65
"Grand Island, NE Metro Area",1026,59,0,0,0,0,203,105,0,13,83,43,300,13,0,33,0,0,0,0,45,115,0,14
"Grand Junction, CO Metro Area",1929,18,0,0,56,9,347,392,0,0,387,299,6,0,67,0,19,109,0,0,53,111,0,56
"Grand Rapids-Wyoming, MI Metro Area",34027,4734,337,215,1401,969,5092,3421,270,161,1339,3773,2808,6,9,1221,0,438,9,108,440,6523,0,753
"Grants Pass, OR Metro Area",1407,64,0,0,0,0,113,425,0,85,322,92,30,20,0,0,25,0,0,0,36,80,0,115
"Great Falls, MT Metro Area",1439,36,0,0,0,0,221,555,0,0,73,135,169,0,21,0,0,86,0,0,27,116,0,0
"Greeley, CO Metro Area",6037,622,0,0,168,155,896,901,165,58,867,571,132,14,9,204,0,38,8,2,480,352,0,395
"Green Bay, WI Metro Area",9912,2176,0,0,21,23,682,577,4268,0,376,287,445,0,0,17,12,68,15,53,220,443,0,229
"Greensboro-High Point, NC Metro Area",30983,5357,92,80,545,1145,3236,2103,358,6,921,2184,1992,18,102,700,0,2441,0,97,273,7556,17,1760
"Greenville, NC Metro Area",4189,831,0,0,0,17,537,815,22,0,419,371,22,11,0,0,0,98,13,83,129,605,0,216
"Greenville-Anderson-Mauldin, SC Metro Area",19460,4184,116,0,476,362,4186,2390,286,35,1041,2042,125,0,0,0,0,384,142,43,516,2015,0,1117
"Gulfport-Biloxi-Pascagoula, MS Metro Area",11990,541,10,0,0,208,959,2849,6,76,684,816,317,17,0,0,0,107,0,0,231,4987,0,182
"Hagerstown-Martinsburg, MD-WV Metro Area",5221,1110,0,0,0,64,523,1255,0,20,242,852,7,13,0,0,0,380,22,15,186,315,0,217
"Hammond, LA Metro Area",1122,162,0,0,0,0,60,184,0,0,60,24,0,0,0,106,0,44,0,0,18,447,7,10
"Hanford-Corcoran, CA Metro Area",8039,657,0,0,47,211,727,4211,209,0,759,441,61,0,20,0,0,66,0,0,64,367,0,199
"Harrisburg-Carlisle, PA Metro Area",25218,6978,140,446,137,710,3981,2158,0,160,840,2062,328,6,85,1681,0,787,38,54,211,3144,9,1263
"Harrisonburg, VA Metro Area",3633,401,27,0,0,20,970,338,0,0,191,565,171,0,0,49,0,255,0,10,25,301,0,310
"Hartford-West Hartford-East Hartford, CT Metro Area",66945,25071,1391,18,616,512,13362,4473,52,214,1694,5210,1591,74,0,730,0,2491,405,580,626,5235,26,2574
"Hattiesburg, MS Metro Area",1916,225,0,0,0,4,285,522,0,75,130,344,0,0,0,43,0,0,0,18,14,128,0,128
"Hickory-Lenoir-Morganton, NC Metro Area",11643,492,33,0,0,0,537,609,6297,0,583,495,763,0,0,0,0,46,0,0,480,781,0,527
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",3510,336,0,0,24,19,615,915,47,0,368,493,0,0,0,0,30,61,0,24,116,371,0,91
"Hinesville, GA Metro Area",3158,243,0,0,4,0,546,566,64,0,264,1053,90,0,0,0,0,42,0,0,108,124,0,54
"Homosassa Springs, FL Metro Area",2637,466,0,0,0,89,329,927,0,0,192,259,0,0,0,0,0,18,0,6,47,240,0,64
"Hot Springs, AR Metro Area",883,220,0,0,0,26,21,371,0,0,36,119,0,0,0,0,0,56,0,0,0,34,0,0
"Houma-Thibodaux, LA Metro Area",2637,281,0,0,0,19,249,167,0,94,108,135,10,54,0,0,0,4,0,8,0,1245,15,248
"Houston-The Woodlands-Sugar Land, TX Metro Area",557575,136840,2546,230,2911,8070,97379,62917,88,2941,11567,19804,2476,739,91,3223,15,40847,1772,6356,5714,133081,325,17643
"Huntington-Ashland, WV-KY-OH Metro Area",3428,579,52,0,0,0,584,672,14,11,264,485,84,8,7,0,0,72,6,47,67,381,0,95
"Huntsville, AL Metro Area",13901,2276,44,0,0,361,2031,2558,6,44,878,2724,98,0,5,133,0,121,0,80,491,1844,0,207
"Idaho Falls, ID Metro Area",1991,53,0,0,0,37,254,440,0,7,730,159,46,0,0,27,0,0,0,2,25,129,0,82
"Indianapolis-Carmel-Anderson, IN Metro Area",69586,20462,288,0,7199,676,12534,7688,391,332,3644,4967,236,276,81,97,0,2624,89,352,1361,3579,38,2672
"Iowa City, IA Metro Area",10729,1851,131,0,7,9,3989,755,0,56,652,1534,368,33,0,115,0,49,70,67,203,626,0,214
"Ithaca, NY Metro Area",12790,1939,178,0,89,39,5856,483,0,89,606,1836,56,28,34,78,0,130,61,498,107,203,26,454
"Jackson, MI Metro Area",1785,213,0,0,0,0,413,339,63,7,114,308,9,8,0,21,0,86,0,0,11,131,0,62
"Jackson, MS Metro Area",7792,2733,190,0,23,0,1235,826,0,14,252,461,52,0,0,226,0,277,49,0,172,829,0,453
"Jackson, TN Metro Area",1512,349,0,0,93,3,188,450,0,0,99,76,5,5,0,0,0,0,0,0,41,195,0,8
"Jacksonville, FL Metro Area",71833,12862,246,150,2922,2146,7376,25943,9,211,2820,3667,722,53,0,165,33,814,0,307,997,7685,37,2668
"Jacksonville, NC Metro Area",6859,344,0,0,0,0,347,3079,67,14,1165,335,17,0,0,0,90,0,0,12,112,1171,0,106
"Janesville-Beloit, WI Metro Area",2773,296,7,0,0,416,418,414,48,0,273,271,73,0,2,10,0,33,18,18,46,370,0,60
