Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Brunswick, GA Metro Area",1865,563,0,0,44,0,200,291,0,0,223,88,77,0,0,0,0,55,0,10,69,100,0,145
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",40724,10210,1064,495,3984,21,8658,2278,0,162,1296,3357,789,223,0,1355,0,1457,278,244,684,2037,0,2132
"Burlington, NC Metro Area",2782,479,0,0,31,0,507,211,122,4,115,278,379,0,0,0,0,133,0,15,54,338,0,116
"Burlington-South Burlington, VT Metro Area",7859,1305,0,722,30,88,1704,579,0,4,311,676,85,10,0,1271,0,3,13,16,81,616,31,314
"California-Lexington Park, MD Metro Area",4325,440,0,0,14,52,516,2213,0,21,314,324,26,17,0,28,0,33,0,0,76,189,0,62
"Canton-Massillon, OH Metro Area",4705,1405,0,0,0,59,567,684,0,23,378,837,0,0,9,43,0,52,0,65,42,334,8,199
"Cape Coral-Fort Myers, FL Metro Area",14446,3104,64,0,116,122,2843,3408,0,147,769,768,495,0,17,137,0,159,18,129,568,1097,12,473
"Cape Girardeau, MO-IL Metro Area",1537,126,18,0,0,0,445,271,0,0,52,120,23,0,0,84,0,0,70,0,60,91,0,177
"Carbondale-Marion, IL Metro Area",3594,450,33,0,8,33,751,255,0,84,284,494,10,84,0,63,0,11,109,113,31,495,0,286
"Carson City, NV Metro Area",1958,275,0,0,0,0,124,605,0,0,298,124,0,0,0,47,0,0,11,26,6,340,0,102
"Casper, WY Metro Area",1039,91,0,0,0,16,157,395,28,0,153,31,0,0,0,0,0,39,0,0,25,72,0,32
"Cedar Rapids, IA Metro Area",7018,1597,56,0,23,0,1402,874,0,12,281,987,357,0,0,49,0,71,0,14,170,672,0,453
"Chambersburg-Waynesboro, PA Metro Area",1965,231,0,0,1,0,396,163,0,47,247,282,0,0,0,0,0,205,0,0,56,245,0,92
"Champaign-Urbana, IL Metro Area",24374,4561,79,0,0,175,9802,2308,6,121,741,3666,179,60,26,59,0,344,35,423,281,968,9,531
"Charleston, WV Metro Area",3108,1016,10,0,0,0,277,478,0,0,288,206,38,0,0,3,0,121,31,0,38,285,0,317
"Charleston-North Charleston, SC Metro Area",19117,2381,16,0,24,162,3993,6471,37,0,1641,1515,139,60,0,35,9,210,13,90,274,1287,0,760
"Charlotte-Concord-Gastonia, NC-SC Metro Area",98657,36032,409,489,1082,1564,12213,7471,3443,481,2904,6167,2606,256,6,2498,12,1789,210,318,1203,14039,52,3413
"Charlottesville, VA Metro Area",11424,2258,86,372,438,46,3103,856,0,24,601,1531,4,26,9,342,17,276,44,129,390,542,0,330
"Chattanooga, TN-GA Metro Area",10940,3157,0,0,0,568,1464,1509,0,272,666,1128,438,21,0,0,0,266,0,186,148,916,0,201
"Cheyenne, WY Metro Area",2178,184,0,0,0,31,320,727,0,15,271,394,3,0,0,20,11,0,0,0,40,53,0,109
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",706159,224964,2324,643,2755,4467,124571,140736,914,1547,28445,62331,5152,1130,2751,2740,42,34523,934,5159,9155,28821,127,21928
"Chico, CA Metro Area",13739,760,0,0,0,85,1296,2303,5100,87,957,454,1060,19,0,26,0,234,0,90,181,513,0,574
"Cincinnati, OH-KY-IN Metro Area",63085,21176,172,205,150,1510,11773,5805,54,181,4421,4340,459,118,0,2137,51,960,385,677,756,4855,0,2900
"Clarksville, TN-KY Metro Area",8557,992,0,0,0,142,654,2332,66,49,635,2536,0,0,0,0,0,108,0,22,220,554,0,247
"Cleveland, TN Metro Area",1388,294,0,0,0,0,629,182,0,0,55,29,0,0,0,24,0,32,0,0,9,110,0,24
"Cleveland-Elyria, OH Metro Area",58061,17410,147,327,191,524,13937,6760,32,307,3451,4609,482,50,51,1317,22,945,206,847,704,2683,0,3059
"Coeur d'Alene, ID Metro Area",2576,149,0,0,26,0,816,840,0,31,319,181,0,28,0,0,0,0,0,5,29,94,0,58
"College Station-Bryan, TX Metro Area",14701,3135,21,0,233,21,4233,1292,0,61,480,2036,132,68,0,153,0,688,47,367,122,1355,11,246
"Colorado Springs, CO Metro Area",32038,2463,0,10,109,152,3663,8543,176,329,3772,7840,701,0,105,172,15,11,12,89,1194,2000,0,682
"Columbia, MO Metro Area",9521,1665,57,0,233,609,2913,940,14,121,574,796,0,2,0,296,0,57,35,119,168,422,0,500
"Columbia, SC Metro Area",20398,5000,97,257,711,104,3524,2726,14,56,823,3047,83,7,17,41,0,373,7,199,488,2233,0,591
"Columbus, GA-AL Metro Area",9099,1737,44,0,1,75,706,1555,53,52,506,2544,87,0,15,0,0,434,0,19,181,540,0,550
"Columbus, IN Metro Area",5405,2983,0,0,0,0,872,166,0,0,668,84,16,2,0,0,0,254,16,0,84,110,0,150
"Columbus, OH Metro Area",94438,28027,534,1853,616,3863,18267,7016,377,738,6028,7271,2299,210,15,3750,0,1690,567,1180,1475,5189,97,3376
"Corpus Christi, TX Metro Area",10712,1106,52,0,63,230,1206,3608,19,26,296,870,201,19,7,6,0,358,0,57,215,2022,13,338
"Corvallis, OR Metro Area",7521,1075,28,0,0,77,3085,454,4,149,863,861,13,80,0,22,0,5,16,79,171,390,0,149
"Crestview-Fort Walton Beach-Destin, FL Metro Area",11129,469,0,0,0,43,959,3574,0,99,1352,1685,40,0,11,20,48,60,0,87,1390,880,0,412
"Cumberland, MD-WV Metro Area",1147,259,0,0,0,11,209,316,0,0,73,144,0,0,0,0,0,0,0,0,18,42,0,75
"Dallas-Fort Worth-Arlington, TX Metro Area",519035,160660,6364,1156,6698,6547,67287,46454,1050,2702,16076,35713,10726,879,19,10124,23,23450,1469,4824,8154,93171,257,15232
"Dalton, GA Metro Area",2072,635,92,0,2,91,206,109,67,0,104,101,0,0,0,0,0,276,8,0,58,300,0,23
"Danville, IL Metro Area",872,159,0,0,0,0,59,283,0,1,0,52,27,0,0,0,0,46,0,0,20,221,0,4
"Daphne-Fairhope-Foley, AL Metro Area",2982,344,0,0,16,0,787,310,0,0,329,147,0,5,0,0,0,0,0,0,191,293,0,560
"Davenport-Moline-Rock Island, IA-IL Metro Area",10290,2598,0,0,782,26,1044,1257,0,0,495,1016,175,41,0,170,5,240,7,40,405,1549,2,438
"Dayton, OH Metro Area",23428,6038,213,0,16,64,4611,3491,0,347,2086,1543,115,7,4,261,0,444,10,204,373,2367,0,1234
"Decatur, AL Metro Area",1212,269,0,0,0,0,289,120,0,0,172,143,0,0,0,0,0,0,0,0,18,141,0,60
"Decatur, IL Metro Area",1729,454,0,0,0,0,147,534,0,0,73,192,0,10,26,0,0,0,0,0,10,192,0,91
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",15485,2883,175,0,339,509,2944,3860,53,27,1194,1027,52,9,14,0,14,116,66,56,539,1078,0,530
"Denver-Aurora-Lakewood, CO Metro Area",148635,22754,242,753,2383,2040,25006,14595,4035,1652,14039,17623,2577,140,1157,3398,26,1859,160,1139,3876,23279,81,5821
"Des Moines-West Des Moines, IA Metro Area",29263,5683,23,258,3374,709,2818,2026,257,108,780,2091,2730,77,0,642,0,119,20,47,1415,5084,0,1002
"Detroit-Warren-Dearborn, MI Metro Area",206849,79476,10521,0,187,500,29673,23544,4165,437,10401,15331,848,359,63,370,26,8317,696,1292,1515,7537,63,11528
"Dothan, AL Metro Area",1492,227,2,0,0,0,280,131,9,33,136,181,0,0,11,0,0,32,0,0,36,240,0,174
"Dover, DE Metro Area",5734,960,0,0,34,0,753,2231,0,0,519,442,0,20,0,0,0,95,0,44,132,189,0,315
"Dubuque, IA Metro Area",1619,219,42,18,0,0,398,291,0,0,100,214,62,0,0,11,0,42,40,0,125,42,0,15
"Duluth, MN-WI Metro Area",4031,452,0,0,1,37,792,617,357,6,273,707,134,55,0,47,0,15,8,12,66,302,0,150
