District,State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
District 6,Virginia,8099,,,,3737,,,,46.14,,,,,,,,,
District 6,Washington,20595,3633,4314,6017,6631,17.64,20.95,29.22,32.2,2767,,,,,,,,
District 6,Wisconsin,9145,1469,2555,1928,3193,16.06,27.94,21.08,34.92,,,,,,,,,
District 7,Alabama,3006,,,,1902,,,,63.27,,,,,,,,,
District 7,Arizona,13670,3903,2597,2824,4346,28.55,19,20.66,31.79,1063,,,,,,,,
District 7,California,78574,12477,11693,19867,34537,15.88,14.88,25.28,43.95,3827,,,,,,,,
District 7,Colorado,17332,3026,3577,3863,6866,17.46,20.64,22.29,39.61,,,,,,,,,
District 7,Florida,22461,,3301,4156,12611,,14.7,18.5,56.15,,,,,,,,,
District 7,Georgia,69150,8843,13425,12406,34476,12.79,19.41,17.94,49.86,,,,,,,,,
District 7,Illinois,38066,3750,3675,,27239,9.85,9.65,,71.56,,,,,,,,,
District 7,Indiana,13091,3666,2695,,5292,28,20.59,,40.42,,,,,,,,,
District 7,Maryland,34612,3432,3451,4443,23286,9.92,9.97,12.84,67.28,,,,,,,,,
District 7,Massachusetts,52805,11657,7874,5058,28216,22.08,14.91,9.58,53.43,,,,,,,,,
District 7,Michigan,4554,,,,2622,,,,57.58,,,,,,,,,
District 7,Minnesota,3020,574,816,799,,19.01,27.02,26.46,,,,,,,,,,
District 7,Missouri,5395,,,,2188,,,,40.56,,,,,,,,,
District 7,New Jersey,50388,2472,3917,4884,39115,4.91,7.77,9.69,77.63,,,,,,,,,
District 7,New York,105823,48160,19236,10169,28258,45.51,18.18,9.61,26.7,,,,,,,,,
District 7,North Carolina,4359,,,,1778,,,,40.79,,,,,,,,,
