District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 2,California,,3789,,,,,7046,4794,,,2538,1760,,,,,,,,,,,,2112
District 2,Colorado,,4846,,,,,7941,1448,,,2054,2456,,,,,,,,,,,,1904
District 2,Connecticut,,6148,,,,,8254,2314,,,,1587,,,,,,,,,,,,
District 2,Florida,,3315,,,,,2045,2307,,,,,,,,,,,,,,,,
District 2,Georgia,,2225,,,,,,,,,,1396,,,,,,,,,,,,
District 2,Hawaii,,,,,,,8619,92882,,,57653,4388,,,,,721,,,,,,,
District 2,Idaho,,,,,,,2009,2028,,,,,,,,,,,,,,,,
District 2,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Indiana,,1921,,,,,2653,,,,,,,,,,,,,,,,,
District 2,Iowa,,3765,,,448,,4936,,,,,,,,,,,,,,,,,1934
District 2,Kansas,,2719,,,,,2956,1395,,,,,,,,,,,,,,,,
District 2,Kentucky,,,,,1932,,,,,,,1152,,,,,,,,,,,,
District 2,Louisiana,,1455,,,,,,,,,,,,,,,,,,,,,,14836
District 2,Maine,,,,,,,1637,,,,,,,,,,,,,,,,,
District 2,Maryland,,11761,,,,,5573,6816,,,,5775,,,,,,,,,,,,
District 2,Massachusetts,,12855,,,,,9567,,,,,2044,,,,,,,,,,,,8345
District 2,Michigan,,1965,,,,,1991,,,,,1567,,,,,,,,,,,,4110
District 2,Minnesota,,5895,,,,2788,3195,2262,4067,,,2181,1893,,,,,,,,,,,6175
District 2,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Missouri,,12329,,,,,7008,2533,,,794,2224,,,,,,,,,,,,
District 2,Nebraska,,5603,,,3507,,2721,1198,,,,1168,,,,,,,,,,,,
District 2,Nevada,,3249,,,,,3666,12163,,,1438,,,,,,,,,,,,,
District 2,New Hampshire,,6189,,,,,4402,798,,,,1198,,,,,,,,,,,,
District 2,New Jersey,,8619,2526,,,,4651,3971,,,,1979,,,,,,,,,,,,3613
District 2,New Mexico,,,,,,,,1470,,,,,,,,,,,,,,,,
District 2,New York,,8232,,,,,4163,2579,,,,1712,,,,,,,,,,,,
District 2,North Carolina,,4723,,,,,2824,2204,,,,1216,,,,,,,,,,,,
District 2,Ohio,,3774,,,,,2325,,,,,,,,,,,,,,,,,
District 2,Oklahoma,,,,,,,,631,838,,,,,,,,,,,,,,,771
District 2,Oregon,,,,,,,1798,1730,,,1169,,,,,,,,,,,,,
District 2,Pennsylvania,,7127,,,,,12283,2443,,,,3948,,,,,,,,,,,,3050
District 2,Rhode Island,,2269,,,,3514,4759,1174,,,,,,,,,,,,,,,,
District 2,South Carolina,,3750,,,,,,,,,,1968,,,,,,,,,,,,
District 2,Tennessee,,2735,,,,,2801,1123,,,,1453,,,,,,,,,,,,
