District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 14,Illinois,21011,,,0.18904383418209508,0.6508019608776355
District 14,Michigan,20258,0.1492743607463718,0.13244150459077894,0.13293513673610424,0.585348997926745
District 14,New York,89736,0.24260051707230096,0.22581795488989925,0.17000980654363912,0.36157172149416067
District 14,Ohio,10408,,,0.1200999231360492,0.6813028439661799
District 14,Pennsylvania,13756,,,,0.716923524280314
District 14,Texas,15279,0.18600693762680803,0.19850775574317692,0.15360952941946462,0.46187577721055045
District 15,California,177311,0.07855124611558223,0.13301487217375121,0.19564494024623402,0.5927889414644325
District 15,Florida,16361,0.13281584255241122,0.15818104027871158,0.22205244178228714,0.48695067538659004
District 15,Illinois,3245,,,,0.4604006163328197
District 15,New York,9655,0.3120662868979803,0.18114966338684618,0.21377524598653547,0.293008803728638
District 15,Ohio,12397,,,,0.6593530692909575
District 15,Pennsylvania,13358,0.1149124120377302,0.16514448270699206,0.1403653241503219,0.5795777811049558
District 15,Texas,5332,,,,0.5903975993998499
District 16,California,37984,0.3428285593934288,0.2000052653748947,0.25600252737994944,0.20116364785172705
District 16,Florida,11310,0.1251105216622458,0.1960212201591512,0.21396993810786913,0.46489832007073384
District 16,Illinois,6838,,,,0.5159403334308277
District 16,New York,27495,0.10518276050190944,0.1408256046553919,0.1574468085106383,0.5965448263320604
District 16,Ohio,11076,,,0.13633080534488984,0.7074756229685807
District 16,Pennsylvania,8524,0.26032379164711406,0.18500703894885032,,0.4178789300797748
District 16,Texas,6678,,,0.2361485474693022,0.4913147648996706
District 17,California,293389,0.0709603972882419,0.0963601225676491,0.14401017079713282,0.6886693093469762
District 17,Florida,7238,,,,0.4575849682232661
District 17,Illinois,6182,,,,0.42025234551924945
District 17,New York,32881,0.08080654481311396,0.0903561327210243,0.12891943675678963,0.6999178857090721
District 17,Pennsylvania,8844,0.20386702849389415,0.21517412935323382,0.16191768430574402,0.419041157847128
District 17,Texas,22272,,0.11417923850574713,0.15135596264367815,0.6122934626436781
District 18,California,118735,0.03807638859645429,0.06380595443634986,0.11314271276371753,0.7849749442034784
District 18,Florida,11958,,,0.2582371634052517,0.4228968054858672
District 18,Illinois,12407,,,,0.7669057789957282
District 18,New York,15398,0.09358358228341343,0.13196519028445253,0.1691778153006884,0.6052734121314456
District 18,Pennsylvania,9852,,,,0.7026999593991068
District 18,Texas,20254,0.19862743161844573,0.1471808037918436,0.20410783055198972,0.45008393403772096
District 19,California,152250,0.17301149425287357,0.13847619047619047,0.23391789819376027,0.4545944170771757
District 19,Florida,8563,,0.25913815251664135,0.21756393787224104,0.40850169333177627
District 19,New York,7547,0.13091294554127467,0.16019610441234927,0.17225387571220352,0.5366370743341725
District 19,Texas,6297,,,,0.56757185961569
District 2,Alabama,5258,,,,0.3923545074172689
District 2,Arizona,15192,0.13079252238020012,0.16699578725645076,0.22294628751974724,0.4792654028436019
District 2,Arkansas,8087,,,,0.5882280202794609
District 2,California,20184,0.0850178359096314,0.14660126833135156,0.2205707491082045,0.5478101466508125
District 2,Colorado,15728,0.07922177009155645,0.103382502543235,0.1564089521871821,0.6609867751780264
District 2,Connecticut,15161,0.1290152364619748,0.18052898885297802,0.17017347140689928,0.5202823032781478
District 2,Florida,8358,,,,0.5894950945202202
District 2,Georgia,5272,,,,0.453907435508346
District 2,Hawaii,144364,0.10425036712753873,0.3116081571582943,0.3020836219556122,0.28205785375855474
District 2,Idaho,8149,,0.20112897288010798,0.23254387041354768,0.4250828322493557
District 2,Illinois,3713,,,,0.6267169404793967
District 2,Indiana,5705,,,,0.533917616126205
District 2,Iowa,10486,0.10337592981117681,,0.156589738699218,0.5944115964142667
