District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
District 2,Tennessee,732230,,,,,,,,,,,
District 2,Texas,767312,,,,,,,,,,,
District 2,Utah,739470,,,,,,,,,,3476,
District 2,Virginia,738962,,,,,,,,,,,
District 2,Washington,715426,,,,,,,,,,,
District 2,West Virginia,623720,,,,,,,,,,,
District 2,Wisconsin,747025,,,,,,,,,,,
District 20,California,734923,,,,,,,,,,,
District 20,Florida,765067,,,,,,,,,,,
District 20,New York,727071,,,,,,,,,,,
District 20,Texas,776926,,,,,,,,,,,
District 21,California,712221,,,,,,,,,,,
District 21,Florida,754832,,,,,,,,,,,
District 21,New York,712223,,,,,,,,,,,
District 21,Texas,777686,,,,,,,,,,,
District 22,California,748078,,,,,,,,,,,
District 22,Florida,742818,,,,,,,,,,,
District 22,New York,704369,,,,,,,,,,,
District 22,Texas,844913,,,,,,,,,,,
District 23,California,738134,,,,,,,,,,,
District 23,Florida,751320,,,,,,,,,,,
District 23,New York,706305,,,,,,,,,,,
District 23,Texas,752067,,,,,,,,,,,
District 24,California,732284,,,,,,,,,,,
District 24,Florida,741759,,,,,,,,,,,
District 24,New York,712307,,,,,,,,,,,
District 24,Texas,774968,,,,,,,,,,,
District 25,California,72e4,,,,,,,,,,,
District 25,Florida,756894,,,,,,,,,,,
District 25,New York,721651,,,,,,,,,,,
District 25,Texas,755821,,,,,,,,,,,
District 26,California,725161,,,,,,,,,,,
District 26,Florida,772867,,,,,,,,,,,
District 26,New York,715764,,,,,,,,,,,
District 26,Texas,823749,,,,,,,,,,,
District 27,California,719377,,,,,,,,,,,
District 27,Florida,750149,,,,,,,,,,,
District 27,New York,718095,,,,,,,,,,,
District 27,Texas,732212,,,,,,,,,,,
District 28,California,717921,,,,,,,,,,,
District 28,Texas,742188,,,,,,,,,,,
District 29,California,721965,,,,,,,,,,,
District 29,Texas,740295,,,,,,,,,,,
District 3,Alabama,703772,,,,,,,,,,,
District 3,Arizona,751029,,,,,,,,,,,
District 3,Arkansas,782339,,,5290,,,,,,,,
District 3,California,730723,,,,,,,,,,,
District 3,Colorado,731888,,,,,,,,,,,
District 3,Connecticut,717162,,,,,,,,,,,
District 3,Florida,720286,,,,,,,,,,,
District 3,Georgia,721355,,,,,,,,,,,
District 3,Illinois,724628,,,,,,,,,,,
District 3,Indiana,736567,,,,,,,,,,,
District 3,Iowa,811951,,,,,,,,,,,
District 3,Kansas,754183,,,,,,,,,,,
District 3,Kentucky,742664,,,,,,,,,,,
District 3,Louisiana,780962,,,,,,,,,,,
District 3,Maryland,752897,,,,,,,,,,,
District 3,Massachusetts,760993,,,,,,,,,,,
District 3,Michigan,731521,,,,,,,,,,,
District 3,Minnesota,703785,,,,,,,,,,,
District 3,Mississippi,748858,,,,,,,,,,,
District 3,Missouri,775379,,,,,,,,,,,
District 3,Nebraska,605462,,,,,,,,,,,
District 3,Nevada,762236,,,,2383,,,,,,,
District 3,New Jersey,737263,,,,,,,,,,,
District 3,New Mexico,696138,,,,,,,,,,,
District 3,New York,731138,,,,,,,,,,,
District 3,North Carolina,754005,,,,,,,,,,,
District 3,Ohio,770797,,,,,,,,,,,
District 3,Oklahoma,773867,,,1691,,,,,,,,
District 3,Oregon,820929,,,,,,,,,,,
District 3,Pennsylvania,695002,,,,,,,,,,,
District 3,South Carolina,677940,,,,,,,,,,,
District 3,Tennessee,723001,,,,,,,,,,,
District 3,Texas,816143,,,,,,,,,,,
District 3,Utah,740511,,,,,,,,,,,
District 3,Virginia,738417,,,,,,,,,,,
District 3,Washington,708507,,,,,,,,,,,
District 3,West Virginia,597674,,,,,,,,,,,
District 3,Wisconsin,718086,,,,,,,,,,,
District 30,California,758784,,,,,,,,,,,
District 30,Texas,760204,,,,,,,,,,,
District 31,California,740071,,,,,,,,,,,
District 31,Texas,806513,,985,,,,,,,,,
District 32,California,721884,,,,,,,,,,,
District 32,Texas,752654,,,,,,,,,,,
District 33,California,715197,,,,,,,,,,,
District 33,Texas,727777,,,,,,,,,,,
District 34,California,728048,,,,,,,,,,,
District 34,Texas,720989,,,,,,,,,,,
District 35,California,735165,,,,,,,,,,,
District 35,Texas,795361,,,,,,,,,,,
District 36,California,740835,,,,,,,,,,,
District 36,Texas,726915,,,,,,,,,,,
District 37,California,721893,,,,,,,,,,,
District 38,California,720150,,,,,,,,,,,
District 39,California,726854,,,,,,,,,,,
District 4,Alabama,683508,,,,,,,,,,,
District 4,Arizona,749187,,,,,,,,,,,
District 4,Arkansas,714749,,,,,,,,,,,
District 4,California,726653,,,,,,,,,,,
District 4,Colorado,780344,,,,,,,,,,,
District 4,Connecticut,738259,,,,,,,,,,,
District 4,Florida,763855,,,,,,,,,,,
District 4,Georgia,739094,,,,,,,,,,,
