District,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
District 17,Illinois,694242,10041,1.45,12739,1.83,,,730,0.11
District 18,Illinois,711884,19198,2.7,22606,3.18,,,,
District 2,Illinois,704321,5029,0.71,6702,0.95,,,,
District 3,Illinois,724628,31089,4.29,35073,4.84,,,,
District 4,Illinois,703303,25093,3.57,29717,4.23,,,,
District 5,Illinois,737064,52063,7.06,63142,8.57,,,688,0.09
District 6,Illinois,725875,66416,9.15,73648,10.15,,,,
District 7,Illinois,725329,50851,7.01,56639,7.81,,,,
District 8,Illinois,716738,95012,13.26,103005,14.37,,,,
District 9,Illinois,723142,92566,12.8,105395,14.57,,,,
District 1,Indiana,716518,9499,1.33,13013,1.82,,,,
District 2,Indiana,722649,8913,1.23,12117,1.68,473,0.07,1105,0.15
District 3,Indiana,736567,15272,2.07,18302,2.48,,,651,0.09
District 4,Indiana,745099,21635,2.9,24535,3.29,,,,
District 5,Indiana,757787,26294,3.47,31249,4.12,,,,
District 6,Indiana,718307,9997,1.39,11900,1.66,,,,
District 7,Indiana,753500,21750,2.89,25302,3.36,,,,
District 8,Indiana,720806,7382,1.02,9576,1.33,,,966,0.13
District 9,Indiana,743185,16938,2.28,20681,2.78,,,,
District 1,Iowa,770452,12013,1.56,15192,1.97,987,0.13,1409,0.18
District 2,Iowa,777339,18208,2.34,22153,2.85,,,,
District 3,Iowa,811951,25275,3.11,30010,3.7,,,1166,0.14
District 4,Iowa,758360,15682,2.07,18544,2.45,,,1288,0.17
District 1,Kansas,712978,11755,1.65,15385,2.16,812,0.11,1777,0.25
District 2,Kansas,714182,11124,1.56,15119,2.12,,,,
District 3,Kansas,754183,33867,4.49,40447,5.36,,,,
District 4,Kansas,722477,23992,3.32,28745,3.98,,,1217,0.17
District 1,Kentucky,721011,4231,0.59,5971,0.83,,,,
District 2,Kentucky,747700,9805,1.31,12839,1.72,707,0.09,1478,0.2
District 3,Kentucky,742664,19573,2.64,23577,3.17,,,840,0.11
District 4,Kentucky,749054,8784,1.17,12113,1.62,,,,
District 5,Kentucky,706248,2696,0.38,3534,0.5,,,,
District 6,Kentucky,757699,14504,1.91,18773,2.48,,,,
District 1,Louisiana,798345,17962,2.25,21627,2.71,,,,
District 2,Louisiana,790128,21102,2.67,22924,2.9,,,,
District 3,Louisiana,780962,11823,1.51,14072,1.8,,,,
District 4,Louisiana,758769,6966,0.92,10239,1.35,617,0.08,1136,0.15
District 5,Louisiana,749991,5501,0.73,6534,0.87,,,,
District 6,Louisiana,785266,17626,2.24,20878,2.66,,,,
District 1,Maine,675074,10147,1.5,14243,2.11,,,,
District 2,Maine,655084,4657,0.71,7398,1.13,,,604,0.09
District 1,Maryland,729888,15474,2.12,19915,2.73,,,,
District 2,Maryland,757951,41390,5.46,49057,6.47,,,1494,0.2
District 3,Maryland,752897,54576,7.25,64744,8.6,,,1526,0.2
District 4,Maryland,747699,22640,3.03,28654,3.83,,,,
District 5,Maryland,759228,32205,4.24,40124,5.28,,,,
District 6,Maryland,762155,84544,11.09,95035,12.47,,,,
District 7,Maryland,726536,51849,7.14,57872,7.97,,,,
District 8,Maryland,759725,70387,9.26,82242,10.83,,,1384,0.18
District 1,Massachusetts,731327,14877,2.03,19338,2.64,,,,
District 2,Massachusetts,744002,40968,5.51,47012,6.32,,,,
District 3,Massachusetts,760993,58984,7.75,64770,8.51,,,,
District 4,Massachusetts,751263,44647,5.94,52013,6.92,,,1120,0.15
District 5,Massachusetts,760616,85576,11.25,95634,12.57,,,,
District 6,Massachusetts,762560,32138,4.21,37438,4.91,,,,
District 7,Massachusetts,781304,78129,10,86531,11.08,,,1301,0.17
District 8,Massachusetts,761328,60376,7.93,66984,8.8,,,1515,0.2
District 9,Massachusetts,735926,10530,1.43,14379,1.95,,,,
District 1,Michigan,700228,4632,0.66,6861,0.98,,,718,0.1
District 10,Michigan,713551,11873,1.66,15512,2.17,,,,
District 11,Michigan,721434,70706,9.8,77486,10.74,,,,
District 12,Michigan,708323,37764,5.33,45690,6.45,,,,
District 13,Michigan,681222,9033,1.33,12412,1.82,,,,
District 14,Michigan,692552,31070,4.49,35600,5.14,,,,
District 2,Michigan,729695,16620,2.28,21363,2.93,,,,
District 3,Michigan,731521,13880,1.9,17833,2.44,,,628,0.09
District 4,Michigan,700749,7083,1.01,9582,1.37,,,597,0.09
District 5,Michigan,682884,6366,0.93,8600,1.26,,,,
District 6,Michigan,713718,11137,1.56,15373,2.15,,,,
District 7,Michigan,703759,6698,0.95,10190,1.45,,,,
District 8,Michigan,728626,31677,4.35,38066,5.22,,,1005,0.14
District 9,Michigan,717306,30543,4.26,35335,4.93,,,,
District 1,Minnesota,670131,17809,2.66,22107,3.3,,,,
District 2,Minnesota,692389,32092,4.63,38746,5.6,,,,
District 3,Minnesota,703785,50520,7.18,58487,8.31,,,,
District 4,Minnesota,701130,85308,12.17,93679,13.36,,,,
District 5,Minnesota,702022,43556,6.2,51926,7.4,,,,
District 6,Minnesota,694849,15923,2.29,21141,3.04,,,,
District 7,Minnesota,663307,5656,0.85,7979,1.2,319,0.05,741,0.11
District 8,Minnesota,663113,5071,0.76,7227,1.09,,,466,0.07
District 1,Mississippi,757425,5730,0.76,7504,0.99,,,,
District 2,Mississippi,716972,3715,0.52,4732,0.66,,,,
District 3,Mississippi,748858,7804,1.04,9290,1.24,,,,
District 4,Mississippi,762965,11610,1.52,15045,1.97,,,,
District 1,Missouri,736659,21874,2.97,27576,3.74,292,0.04,,
District 2,Missouri,762444,33546,4.4,39027,5.12,,,,
District 3,Missouri,775379,7584,0.98,10511,1.36,,,,
District 4,Missouri,762923,11625,1.52,16876,2.21,796,0.1,1927,0.25
District 5,Missouri,761929,14063,1.85,18268,2.4,2349,0.31,3343,0.44
District 6,Missouri,763913,9990,1.31,13732,1.8,,,1907,0.25
District 7,Missouri,768753,9585,1.25,13283,1.73,1430,0.19,2677,0.35
District 8,Missouri,743300,4692,0.63,6450,0.87,,,,
District (at Large),Montana,1029862,7448,0.72,13144,1.28,,,2084,0.2
District 1,Nebraska,636147,16468,2.59,20413,3.21,,,1345,0.21
District 2,Nebraska,652312,21190,3.25,25982,3.98,376,0.06,1080,0.17
District 3,Nebraska,605462,4550,0.75,6331,1.05,,,,
District 1,Nevada,692075,58009,8.38,69092,9.98,5049,0.73,9115,1.32
District 2,Nevada,702115,27819,3.96,38939,5.55,3216,0.46,7119,1.01
District 3,Nevada,762236,105617,13.86,128122,16.81,6388,0.84,12786,1.68
District 4,Nevada,731299,41057,5.61,56077,7.67,4366,0.6,9977,1.36
District 1,New Hampshire,670467,15972,2.38,20250,3.02,,,,
District 2,New Hampshire,661381,17341,2.62,21488,3.25,,,,
