County,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
Snohomish County,Washington,771904,77139,9.99,96176,12.46,3959,0.51,8705,1.13
Spokane County,Washington,490764,11105,2.26,17504,3.57,2388,0.49,4521,0.92
Stevens County,Washington,43858,305,0.7,683,1.56,,,150,0.34
Thurston County,Washington,269885,15406,5.71,21760,8.06,2254,0.84,4077,1.51
Wahkiakum County,Washington,4105,,,,,,,,
Walla Walla County,Washington,59862,928,1.55,1712,2.86,,,,
Whatcom County,Washington,212738,8634,4.06,12566,5.91,600,0.28,1443,0.68
Whitman County,Washington,47794,3804,7.96,4838,10.12,,,,
Yakima County,Washington,248279,2472,1,4418,1.78,,,,
Barbour County,West Virginia,16790,,,,,,,,
Berkeley County,West Virginia,111610,1222,1.09,1777,1.59,,,,
Boone County,West Virginia,23236,,,,,,,,
Braxton County,West Virginia,14345,,,,,,,,
Brooke County,West Virginia,23067,,,139,0.6,,,,
Cabell County,West Virginia,96100,1213,1.26,1529,1.59,,,,
Calhoun County,West Virginia,7450,,,,,,,,
Clay County,West Virginia,8901,,,,,,,,
Doddridge County,West Virginia,8570,,,,,,,,
Fayette County,West Virginia,44602,,,,,,,,
Gilmer County,West Virginia,8305,,,,,,,,
Grant County,West Virginia,11673,,,,,,,,
Greenbrier County,West Virginia,35523,,,,,,,,
Hampshire County,West Virginia,23412,,,,,,,,
Hancock County,West Virginia,29921,141,0.47,155,0.52,,,,
Hardy County,West Virginia,13812,,,,,,,,
Harrison County,West Virginia,68438,,,554,0.81,,,,
Jackson County,West Virginia,29123,,,119,0.41,,,,
Jefferson County,West Virginia,55673,830,1.49,1192,2.14,,,,
Kanawha County,West Virginia,187827,1984,1.06,2985,1.59,,,,
Lewis County,West Virginia,16371,,,,,,,,
Lincoln County,West Virginia,21241,,,,,,,,
Logan County,West Virginia,34428,133,0.39,135,0.39,,,,
Marion County,West Virginia,56575,377,0.67,417,0.74,,,,
Marshall County,West Virginia,32006,,,,,,,,
Mason County,West Virginia,27e3,,,,,,,,
McDowell County,West Virginia,19707,,,,,,,,
Mercer County,West Virginia,60963,402,0.66,442,0.73,,,,
