District,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
District 21,Texas,777686,26948,32.57,,,,,20.07,10.01,,,2.63,10.29,,,,,,,,,,,,,7.29
District 22,California,748078,59218,20.32,,,,,9.92,17.94,20.56,,6.61,,8.15,,,,,,,,,,,2.1,5.64
District 22,Florida,742818,24394,36.14,,,,,22.81,9.25,,,,,,,,,,,,,,,,,
District 22,New York,704369,19369,16.59,,,15.52,,20.53,,,,,6.11,,,,,,,,,,,,,10.41
District 22,Texas,844913,151634,35.27,,,,,19.27,10.47,,,,,,,,,,,,9.37,,,,,16.73
District 23,California,738134,38560,24.58,,,,,9.61,35.04,,,,5.87,,,,,,,,,,,,,
District 23,Florida,751320,31168,40.96,,,,,21.56,12.08,,,,,,,,,,,,,,,,,
District 23,New York,706305,17367,20.12,,,,,43.31,,,,,12.76,,,,,,,,,,,,,
District 23,Texas,752067,10173,30.19,,,,,,19.71,,,,,,,,,,,,,,,,,
District 24,California,732284,34337,7.66,,,,,23.43,32.04,,,10.13,9.3,,,,,,,,,,,,3.94,6.5
District 24,Florida,741759,9641,24.47,,,,,20.16,25.86,,,,,,,,,,,,,,,,,
District 24,New York,712307,19777,19.41,,,,,27.92,4.63,,,,7.04,,,,,,,,,,,,,13.29
District 24,Texas,774968,102702,47.54,,,,,8.43,3.95,,,,9.91,,,,4.45,,,,6.03,,,,1.02,9.72
District 25,California,72e4,59434,16.82,,,,,9.82,37.53,,,4.85,16.73,,,,,,,,,,,,2.56,4.44
District 25,Florida,756894,8593,32.65,,,,,,,,,,,,,,,,,,,,,,,
District 25,New York,721651,27348,25,,,,,24.99,,,,,7.1,,,,,,,,,,,,,9.91
District 25,Texas,755821,22400,26.92,,,,,23.33,10.49,,,,11.52,,,,,,,,,,,,,
District 26,California,725161,49587,17.75,,,,,17.87,35,,,8.15,5.9,,,,,,,,,,,,3.19,6.32
District 26,Florida,772867,14251,27.46,,,,,30.01,,,,,,,,,,,,,,,,,,
District 26,New York,715764,28926,27.31,,,,,21.4,3.25,,,,7.91,,,,,,,,,,,,,4.56
District 26,Texas,823749,50217,39.56,,,,,11.59,7.37,,,,9.6,,,,,,,,4.37,,,,,10.5
District 27,California,719377,276702,2.91,,,0.84,1.05,61.55,5.75,,1.24,4.84,4.49,,,,,,,,,,2.66,0.86,3.92,8.88
District 27,Florida,750149,14805,20.99,,,,,35.85,,,,,,,,,,,,,,,,,,
District 27,New York,718095,7698,25.68,,,,,28.31,,,,,13.07,,,,,,,,,,,,,
District 27,Texas,732212,11568,,,,,,14.74,26.35,,,,,,,,,,,,,,,,,22.83
District 28,California,717921,96796,7.53,,,,,12.3,37.03,,,5.99,23.58,,,,,,,,,,,3.87,2.73,2.88
District 28,Texas,742188,7821,,,,,,,30.1,,,,,,,,,,,,,,,,,
District 29,California,721965,56213,6.37,,,,,5.77,57.1,,,4.17,7.73,,,,,,,,,,,6.3,1.9,4.18
District 29,Texas,740295,11817,,,,,,,,,,,,,,,,,,,,,,,,46.88
District 3,Alabama,703772,12013,,,,,,18.66,,,,,35.71,,,,,,,,,,,,,
District 3,Arizona,751029,13150,,,,,,18.55,29.1,,,,,,,,,,,,,,,,,13.73
District 3,Arkansas,782339,22598,27.41,,,,,10.13,9.11,,,,,16.91,,,,,,,,,,,,15.34
District 3,California,730723,81571,22.7,,,,,16.18,29.98,4.48,,4.21,4.22,,,,,,,,,,,,2.11,6.17
District 3,Colorado,731888,5484,,,,,,22.79,20.86,,,,,,,,,,,,,,,,,
District 3,Connecticut,717162,30790,31.73,,,,,26.56,9.98,,,,7.69,,,,,,,,,,,,,
District 3,Florida,720286,24399,22.89,,,,,21.32,20.86,,,,,,,,,,,,,,,,,
District 3,Georgia,721355,13932,31.48,,,,,,9.1,,,,18.81,,,,,,,,,,,,,
District 3,Illinois,724628,31089,14.3,,,,,51.89,15.96,,,,,,,,,,,,,,,,,
District 3,Indiana,736567,15272,20.2,,,22.11,,8.08,6.65,,,,,,,,,,,,,,,,,
District 3,Iowa,811951,25275,21.61,,,,,8.64,,,,,5.66,,,,,,,,,,,,,18.89
District 3,Kansas,754183,33867,33.54,,,,,13.93,,,,,6.84,4.64,,,,,,,,,,,,7.37
District 3,Kentucky,742664,19573,28.82,,,,,11.27,8.18,,,,,,,,,,,,,,,,,15.23
District 3,Louisiana,780962,11823,,,,,,,,,,,,13.23,,,,,,,,,,,,35.55
District 3,Maryland,752897,54576,24,,,,,18.21,12.9,,,,15.76,,,,,,,,5.93,,,,,8.98
