District,State,Group Population,No Health INS,Share No Health INS
District 43,California,92973,,
District 44,California,42447,,
District 45,California,182626,,
District 46,California,93795,,
District 47,California,160429,,
District 48,California,131826,,
District 49,California,49433,,
District 5,Alabama,11805,,
District 5,Arizona,36179,,
District 5,California,80482,,
District 5,Colorado,18393,,
District 5,Connecticut,27276,,
District 5,Florida,18571,,
District 5,Georgia,32173,,
District 5,Illinois,51932,,
District 5,Indiana,26232,,
District 5,Kentucky,2676,,
District 5,Louisiana,5414,,
District 5,Maryland,32009,,
District 5,Massachusetts,85390,,
District 5,Michigan,6365,,
District 5,Minnesota,43465,,
District 5,Missouri,14050,,
District 5,New Jersey,78877,,
District 5,New York,108961,,
District 5,North Carolina,10585,,
District 5,Ohio,9502,,
District 5,Oklahoma,24772,,
District 5,Oregon,22370,,
District 5,Pennsylvania,12724,,
District 5,South Carolina,7841,,
District 5,Tennessee,24265,,
District 5,Texas,15215,,
District 5,Virginia,12778,,
District 5,Washington,16508,,
District 5,Wisconsin,19782,,
District 50,California,41849,,
District 51,California,58148,,
District 52,California,148988,,
District 53,California,101148,,
District 6,Alabama,11913,,
District 6,Arizona,36064,,
District 6,California,115537,,
District 6,Colorado,47236,,
District 6,Florida,13390,,
District 6,Georgia,82045,,
District 6,Illinois,66361,,
District 6,Indiana,9940,,
District 6,Kentucky,14457,,
District 6,Louisiana,17615,,
District 6,Maryland,84318,,
District 6,Massachusetts,32027,,
District 6,Michigan,11108,,
District 6,Minnesota,15849,,
District 6,Missouri,9878,,
District 6,New Jersey,141384,,
District 6,New York,295380,48396,0.16384318504976642
District 6,North Carolina,12179,,
District 6,Ohio,3017,,
District 6,Pennsylvania,34325,,
District 6,South Carolina,7303,,
District 6,Tennessee,6913,,
District 6,Texas,35955,,
District 6,Virginia,14185,,
District 6,Washington,27598,,
District 6,Wisconsin,16769,,
District 7,Alabama,5327,,
District 7,Arizona,19351,,
District 7,California,114399,,
District 7,Colorado,25293,,
District 7,Florida,32893,,
District 7,Georgia,102319,,
District 7,Illinois,50772,,
District 7,Indiana,21697,,
District 7,Maryland,51677,,
District 7,Massachusetts,77948,,
District 7,Michigan,6601,,
District 7,Minnesota,5645,,
District 7,Missouri,9562,,
District 7,New Jersey,73437,,
District 7,New York,141125,,
District 7,North Carolina,6283,,
