County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
San Mateo County,California,763450,10797,,,,,,,,,,44.62,
Santa Barbara County,California,442996,,,,,,,,,,,,
Santa Clara County,California,1911226,7438,,,,,,,,,32.21,,
Santa Cruz County,California,273263,,,,,,,,,,,,
Shasta County,California,178919,,,,,,,,,,,,
Sierra County,California,2885,,,,,,,,,,,,
Siskiyou County,California,43530,,,,,,,,,,,,
Solano County,California,434981,3818,,,,,,,,,,,
Sonoma County,California,500943,1677,,,,,,,,,,,
Stanislaus County,California,535684,3670,,,,,,,,,,,
Sutter County,California,95583,,,,,,,,,,,,
Tehama County,California,63247,,,,,,,,,,,,
Trinity County,California,13037,,,,,,,,,,,,
Tulare County,California,458809,629,,,,,,,,,,,
Tuolumne County,California,53899,,,,,,,,,,,,
Ventura County,California,847834,1658,,,,,,,,,,,
Yolo County,California,212605,911,,,,,,,,,,,
Yuba County,California,74644,300,,,,,,,,,,,
Adams County,Colorado,487850,604,,,,,,,,,,,
Alamosa County,Colorado,16345,,,,,,,,,,,,
Arapahoe County,Colorado,626612,1330,,,,,,,,,,,
Archuleta County,Colorado,12592,,,,,,,,,,,,
Baca County,Colorado,3581,,,,,,,,,,,,
Bent County,Colorado,5806,,,,,,,,,,,,
Boulder County,Colorado,316782,,,,,,,,,,,,
Broomfield County,Colorado,64283,,,,,,,,,,,,
Chaffee County,Colorado,18818,,,,,,,,,,,,
Cheyenne County,Colorado,2127,,,,,,,,,,,,
Clear Creek County,Colorado,9257,,,,,,,,,,,,
Conejos County,Colorado,8147,,,,,,,,,,,,
Costilla County,Colorado,3628,,,,,,,,,,,,
Crowley County,Colorado,5514,,,,,,,,,,,,
Custer County,Colorado,4505,,,,,,,,,,,,
Delta County,Colorado,30217,,,,,,,,,,,,
Denver County,Colorado,678467,,,,,,,,,,,,
Dolores County,Colorado,1736,,,,,,,,,,,,
Douglas County,Colorado,320940,,,,,,,,,,,,
Eagle County,Colorado,53726,,,,,,,,,,,,
Elbert County,Colorado,24553,,,,,,,,,,,,
El Paso County,Colorado,674826,2798,,,,,,,,,,,
Fremont County,Colorado,46601,,,,,,,,,,,,
Garfield County,Colorado,57945,,,,,,,,,,,,
Gilpin County,Colorado,5793,,,,,,,,,,,,
Grand County,Colorado,14793,,,,,,,,,,,,
Gunnison County,Colorado,16215,,,,,,,,,,,,
Hinsdale County,Colorado,820,,,,,,,,,,,,
Huerfano County,Colorado,6498,,,,,,,,,,,,
Jackson County,Colorado,1372,,,,,,,,,,,,
Jefferson County,Colorado,564029,,,,,,,,,,,,
Kiowa County,Colorado,1368,,,,,,,,,,,,
Kit Carson County,Colorado,7846,,,,,,,,,,,,
Lake County,Colorado,7481,,,,,,,,,,,,
La Plata County,Colorado,54469,,,,,,,,,,,,
Larimer County,Colorado,330976,299,,,,,,,,,,,
Las Animas County,Colorado,14151,,,,,,,,,,,,
Lincoln County,Colorado,5520,,,,,,,,,,,,
Logan County,Colorado,21885,,,,,,,,,,,,
Mesa County,Colorado,148798,,,,,,,,,,,,
Mineral County,Colorado,834,,,,,,,,,,,,
Moffat County,Colorado,13056,,,,,,,,,,,,
Montezuma County,Colorado,25770,,,,,,,,,,,,
Montrose County,Colorado,40908,,,,,,,,,,,,
Morgan County,Colorado,28123,,,,,,,,,,,,
Otero County,Colorado,18325,,,,,,,,,,,,
Ouray County,Colorado,4653,,,,,,,,,,,,
Park County,Colorado,16900,,,,,,,,,,,,
Phillips County,Colorado,4327,,,,,,,,,,,,
Pitkin County,Colorado,17747,,,,,,,,,,,,
Prowers County,Colorado,12084,,,,,,,,,,,,
Pueblo County,Colorado,163368,,,,,,,,,,,,
Rio Blanco County,Colorado,6557,,,,,,,,,,,,
Rio Grande County,Colorado,11430,,,,,,,,,,,,
Routt County,Colorado,24359,,,,,,,,,,,,
Saguache County,Colorado,6338,,,,,,,,,,,,
San Juan County,Colorado,569,,,,,,,,,,,,
San Miguel County,Colorado,7804,,,,,,,,,,,,
Sedgwick County,Colorado,2357,,,,,,,,,,,,
Summit County,Colorado,29722,,,,,,,,,,,,
Teller County,Colorado,23769,,,,,,,,,,,,
Washington County,Colorado,4809,,,,,,,,,,,,
Weld County,Colorado,285729,,,,,,,,,,,,
Yuma County,Colorado,10109,,,,,,,,,,,,
Fairfield County,Connecticut,947328,,,,,,,,,,,,
Hartford County,Connecticut,897417,,,,,,,,,,,,
Litchfield County,Connecticut,184454,,,,,,,,,,,,
Middlesex County,Connecticut,164110,,,,,,,,,,,,
New Haven County,Connecticut,862127,,,,,,,,,,,,
New London County,Connecticut,270772,,,,,,,,,,,,
Tolland County,Connecticut,151596,,,,,,,,,,,,
Windham County,Connecticut,116674,,,,,,,,,,,,
Kent County,Delaware,173145,,,,,,,,,,,,
New Castle County,Delaware,555036,,,,,,,,,,,,
Sussex County,Delaware,215551,,,,,,,,,,,,
District of Columbia,District of Columbia,672391,,,,,,,,,,,,
Alachua County,Florida,259865,169,,,,,,,,,,,
Baker County,Florida,27537,,,,,,,,,,,,
Bay County,Florida,180117,,,,,,,,,,,,
Bradford County,Florida,26775,,,,,,,,,,,,
Brevard County,Florida,568183,421,,,,,,,,,,,
Broward County,Florida,1890416,1102,,,,,,,,,,,
Calhoun County,Florida,14458,,,,,,,,,,,,
Charlotte County,Florida,173236,,,,,,,,,,,,
Citrus County,Florida,141373,,,,,,,,,,,,
Clay County,Florida,203291,,,,,,,,,,,,
Collier County,Florida,356774,,,,,,,,,,,,
Columbia County,Florida,68484,,,,,,,,,,,,
