County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Winnebago County,Wisconsin,169540,,,,,,,,,,,,
Wood County,Wisconsin,73427,,,,,,,,,,,,
Albany County,Wyoming,37944,,,,,,,,,,,,
Big Horn County,Wyoming,11920,,,,,,,,,,,,
Campbell County,Wyoming,48116,,,,,,,,,,,,
Carbon County,Wyoming,15689,,,,,,,,,,,,
Converse County,Wyoming,14166,,,,,,,,,,,,
Crook County,Wyoming,7347,,,,,,,,,,,,
Fremont County,Wyoming,40354,,,,,,,,,,,,
Goshen County,Wyoming,13479,,,,,,,,,,,,
Hot Springs County,Wyoming,4741,,,,,,,,,,,,
Johnson County,Wyoming,8562,,,,,,,,,,,,
Laramie County,Wyoming,97031,,,,,,,,,,,,
Lincoln County,Wyoming,18791,,,,,,,,,,,,
Natrona County,Wyoming,81023,,,,,,,,,,,,
Niobrara County,Wyoming,2479,,,,,,,,,,,,
Park County,Wyoming,29276,,,,,,,,,,,,
Platte County,Wyoming,8703,,,,,,,,,,,,
Sheridan County,Wyoming,29964,,,,,,,,,,,,
Sublette County,Wyoming,10037,,,,,,,,,,,,
Sweetwater County,Wyoming,44527,,,,,,,,,,,,
Teton County,Wyoming,22923,,,,,,,,,,,,
Uinta County,Wyoming,20758,,,,,,,,,,,,
Washakie County,Wyoming,8253,,,,,,,,,,,,
Weston County,Wyoming,7117,,,,,,,,,,,,
Adjuntas Municipio,Puerto Rico,18525,,,,,,,,,,,,
Aguada Municipio,Puerto Rico,39470,,,,,,,,,,,,
Aguadilla Municipio,Puerto Rico,55722,,,,,,,,,,,,
Aguas Buenas Municipio,Puerto Rico,26855,,,,,,,,,,,,
Aibonito Municipio,Puerto Rico,24008,,,,,,,,,,,,
Añasco Municipio,Puerto Rico,27892,,,,,,,,,,,,
Arecibo Municipio,Puerto Rico,89550,,,,,,,,,,,,
Arroyo Municipio,Puerto Rico,18504,,,,,,,,,,,,
Barceloneta Municipio,Puerto Rico,24583,,,,,,,,,,,,
Barranquitas Municipio,Puerto Rico,29237,,,,,,,,,,,,
Bayamón Municipio,Puerto Rico,188614,,,,,,,,,,,,
Cabo Rojo Municipio,Puerto Rico,49726,,,,,,,,,,,,
Caguas Municipio,Puerto Rico,134269,,,,,,,,,,,,
Camuy Municipio,Puerto Rico,32936,,,,,,,,,,,,
Canóvanas Municipio,Puerto Rico,46779,,,,,,,,,,,,
Carolina Municipio,Puerto Rico,161684,,,,,,,,,,,,
Cataño Municipio,Puerto Rico,25595,,,,,,,,,,,,
Cayey Municipio,Puerto Rico,45431,,,,,,,,,,,,
Ceiba Municipio,Puerto Rico,12238,,,,,,,,,,,,
Ciales Municipio,Puerto Rico,17325,,,,,,,,,,,,
Cidra Municipio,Puerto Rico,41181,,,,,,,,,,,,
Coamo Municipio,Puerto Rico,39796,,,,,,,,,,,,
Comerío Municipio,Puerto Rico,19914,,,,,,,,,,,,
Corozal Municipio,Puerto Rico,34933,,,,,,,,,,,,
Culebra Municipio,Puerto Rico,1494,,,,,,,,,,,,
Dorado Municipio,Puerto Rico,37722,,,,,,,,,,,,
Fajardo Municipio,Puerto Rico,33075,,,,,,,,,,,,
Florida Municipio,Puerto Rico,12140,,,,,,,,,,,,
Guánica Municipio,Puerto Rico,17327,,,,,,,,,,,,
Guayama Municipio,Puerto Rico,42623,,,,,,,,,,,,
Guayanilla Municipio,Puerto Rico,19578,,,,,,,,,,,,
Guaynabo Municipio,Puerto Rico,90773,,,,,,,,,,,,
Gurabo Municipio,Puerto Rico,47074,,,,,,,,,,,,
Hatillo Municipio,Puerto Rico,40978,,,,,,,,,,,,
Hormigueros Municipio,Puerto Rico,16474,,,,,,,,,,,,
Humacao Municipio,Puerto Rico,54736,,,,,,,,,,,,
Isabela Municipio,Puerto Rico,43314,,,,,,,,,,,,
Jayuya Municipio,Puerto Rico,15297,,,,,,,,,,,,
Juana Díaz Municipio,Puerto Rico,47952,,,,,,,,,,,,
Juncos Municipio,Puerto Rico,39704,,,,,,,,,,,,
Lajas Municipio,Puerto Rico,23893,,,,,,,,,,,,
Lares Municipio,Puerto Rico,27321,,,,,,,,,,,,
Las Marías Municipio,Puerto Rico,8874,,,,,,,,,,,,
Las Piedras Municipio,Puerto Rico,38253,,,,,,,,,,,,
Loíza Municipio,Puerto Rico,27242,,,,,,,,,,,,
Luquillo Municipio,Puerto Rico,18952,,,,,,,,,,,,
Manatí Municipio,Puerto Rico,40705,,,,,,,,,,,,
Maricao Municipio,Puerto Rico,6180,,,,,,,,,,,,
Maunabo Municipio,Puerto Rico,11297,,,,,,,,,,,,
Mayagüez Municipio,Puerto Rico,79615,,,,,,,,,,,,
Moca Municipio,Puerto Rico,37676,,,,,,,,,,,,
Morovis Municipio,Puerto Rico,31785,,,,,,,,,,,,
Naguabo Municipio,Puerto Rico,26584,,,,,,,,,,,,
Naranjito Municipio,Puerto Rico,29112,,,,,,,,,,,,
Orocovis Municipio,Puerto Rico,21906,,,,,,,,,,,,
Patillas Municipio,Puerto Rico,17769,,,,,,,,,,,,
Peñuelas Municipio,Puerto Rico,21661,,,,,,,,,,,,
Ponce Municipio,Puerto Rico,148863,,,,,,,,,,,,
Quebradillas Municipio,Puerto Rico,24548,,,,,,,,,,,,
Rincón Municipio,Puerto Rico,14526,,,,,,,,,,,,
Río Grande Municipio,Puerto Rico,51768,,,,,,,,,,,,
Sabana Grande Municipio,Puerto Rico,23610,,,,,,,,,,,,
Salinas Municipio,Puerto Rico,29239,,,,,,,,,,,,
San Germán Municipio,Puerto Rico,32937,,,,,,,,,,,,
San Juan Municipio,Puerto Rico,355181,,,,,,,,,,,,
San Lorenzo Municipio,Puerto Rico,38689,,,,,,,,,,,,
San Sebastián Municipio,Puerto Rico,38970,,,,,,,,,,,,
Santa Isabel Municipio,Puerto Rico,22475,,,,,,,,,,,,
Toa Alta Municipio,Puerto Rico,74169,,,,,,,,,,,,
Toa Baja Municipio,Puerto Rico,81905,,,,,,,,,,,,
Trujillo Alto Municipio,Puerto Rico,69478,,,,,,,,,,,,
Utuado Municipio,Puerto Rico,30209,,,,,,,,,,,,
Vega Alta Municipio,Puerto Rico,38589,,,,,,,,,,,,
Vega Baja Municipio,Puerto Rico,54754,,,,,,,,,,,,
Vieques Municipio,Puerto Rico,8931,,,,,,,,,,,,
Villalba Municipio,Puerto Rico,23659,,,,,,,,,,,,
Yabucoa Municipio,Puerto Rico,35025,,,,,,,,,,,,
Yauco Municipio,Puerto Rico,37585,,,,,,,,,,,,
