District,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
District 4,Florida,32826,8328,36.81,403,,
District 4,Georgia,35229,17388,56.14,451,,
District 4,Illinois,24009,9096,49.49,296,,
District 4,Indiana,20579,8270,48.24,196,,
District 4,Iowa,14748,7062,59.53,690,,
District 4,Kansas,22715,8671,50.89,288,,
District 4,Kentucky,8344,2083,36.65,150,,
District 4,Louisiana,6539,1839,41.54,580,,
District 4,Maryland,21481,6255,39.84,181,,
District 4,Massachusetts,42018,10779,35.11,295,,
District 4,Michigan,6888,1992,41.12,184,,
District 4,Minnesota,77162,33070,50.76,301,,
District 4,Mississippi,11234,4112,46.61,173,,
District 4,Missouri,11200,3711,46.25,753,,
District 4,Nevada,40154,10031,39.23,4243,,
District 4,New Jersey,29485,8100,38.54,308,,
District 4,New York,45013,13103,38.23,128,,
District 4,North Carolina,64720,16270,32.24,344,,
District 4,Ohio,5848,2170,50.14,189,,
District 4,Oklahoma,17529,5480,42.3,838,,
District 4,Oregon,17797,5385,46.33,1383,,
District 4,Pennsylvania,16647,6081,46.83,195,,
District 4,South Carolina,16124,5826,48.98,411,,
District 4,Tennessee,11803,3887,44.83,216,,
District 4,Texas,7449,2272,40.12,408,,
District 4,Utah,22870,8477,49.15,9395,,
District 4,Virginia,13646,2710,30.6,363,,
District 4,Washington,10608,3631,50.64,642,,
District 4,Wisconsin,25253,9290,46.51,171,,
District 40,California,17267,6758,48.35,1768,,
District 41,California,40838,12444,43.59,2278,,
District 42,California,68254,21495,43.67,2786,,
District 43,California,88260,30759,51.27,2886,,
District 44,California,40150,13955,47.47,4173,,
District 45,California,172638,46259,37.43,1229,,
District 46,California,90034,41665,55.73,2030,,
District 47,California,153546,67395,55.73,4509,,
District 48,California,126600,51159,52.23,2495,,
District 49,California,47504,11633,40.88,2451,,
District 5,Alabama,11476,2779,38.16,544,,
District 5,Arizona,33980,8907,36.79,1745,,
District 5,California,77691,21255,40.64,3289,,
District 5,Colorado,18489,5076,46,2673,,
District 5,Connecticut,25819,8450,42.56,324,,
District 5,Florida,17893,6501,48.22,631,,
District 5,Georgia,30878,10276,44.8,147,,
District 5,Illinois,49371,12716,37.56,147,,
District 5,Indiana,24550,5946,33.45,180,,
District 5,Kentucky,2602,,,157,,
District 5,Louisiana,5048,,,158,,
District 5,Maryland,30980,9149,39.59,391,,
District 5,Massachusetts,80204,24828,39.35,181,,
District 5,Michigan,6108,1746,41.27,170,,
District 5,Minnesota,40757,13160,43.98,190,,
District 5,Missouri,13319,5287,54.51,2001,,
District 5,New Jersey,75485,21201,36.06,177,,
District 5,New York,102334,29166,47.5,507,,
District 5,North Carolina,10151,2726,35.86,593,,
District 5,Ohio,9116,2640,38.73,204,,
District 5,Oklahoma,23577,9271,50.57,672,,
District 5,Oregon,21338,6421,45.41,3829,,
District 5,Pennsylvania,12307,4429,46.85,136,,
District 5,South Carolina,7424,2389,46.71,241,,
District 5,Tennessee,22760,9887,55.07,454,,
District 5,Texas,14176,6337,55.02,399,,
District 5,Virginia,12382,3663,40.52,146,,
District 5,Washington,15980,5302,51.16,2514,,
District 5,Wisconsin,18238,4638,35.45,238,,
District 50,California,40206,12718,48.34,2807,,
District 51,California,57562,22785,50.95,2459,,
