County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Petersburg Borough,Alaska,3275,,,,,,,,,,,,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,6473,74,,,,,,,,,,,,,,,,,,,,,,,,
Sitka City and Borough,Alaska,8810,608,,,,,,,91.78,,,,,,,,,,,,,,,,,
Skagway Municipality,Alaska,1038,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Fairbanks Census Area,Alaska,6889,132,,,,,,,,,,,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,9439,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2475,,,,,,,,,,,,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,682,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,5453,,,,,,,,,,,,,,,,,,,,,,,,,
Apache County,Arizona,71602,,,,,,,,,,,,,,,,,,,,,,,,,
Cochise County,Arizona,126516,2298,,,,,,,,,,,,,,,,,,,,,,,,
Coconino County,Arizona,138639,2590,,,,,,,,,,,,,,,,,,,,,,,,
Gila County,Arizona,53145,467,,,,,,,,,,,,,,,,,,,,,,,,
Graham County,Arizona,37700,279,,,,,,,,,,,,,,,,,,,,,,,,
Greenlee County,Arizona,9368,,,,,,,,,,,,,,,,,,,,,,,,,
La Paz County,Arizona,20477,162,,,,,,,,,,,,,,,,,,,,,,,,
Maricopa County,Arizona,4155501,163988,28.02,,,,,17.53,17.7,,,3.8,6.33,,,,,,,,,,,1.61,2.31,13.89
Mohave County,Arizona,204691,2528,,,,,,,35.17,,,,,,,,,,,,,,,,,
Navajo County,Arizona,107902,663,,,,,,,,,,,,,,,,,,,,,,,,
Pima County,Arizona,1007257,27969,11.94,,,,,26.69,17.72,,,7.07,7.7,,,,,,,,,,,,,15.6
Pinal County,Arizona,405537,7013,,,,,,,33.35,,,,,,,,,,,,,,,,,
Santa Cruz County,Arizona,46358,395,,,,,,,,,,,,,,,,,,,,,,,,
Yavapai County,Arizona,220972,2122,,,,,,,,,,,,,,,,,,,,,,,,
Yuma County,Arizona,204281,2662,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas County,Arkansas,18352,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley County,Arkansas,20771,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter County,Arkansas,41093,,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Arkansas,251823,9303,52.65,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Arkansas,37212,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley County,Arkansas,10994,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Arkansas,5194,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County,Arkansas,27782,287,,,,,,,,,,,,,,,,,,,,,,,,
Chicot County,Arkansas,11008,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County,Arkansas,22495,157,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Arkansas,15190,,,,,,,,,,,,,,,,,,,,,,,,,
Cleburne County,Arkansas,25361,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County,Arkansas,8332,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia County,Arkansas,23992,264,,,,,,,,,,,,,,,,,,,,,,,,
Conway County,Arkansas,20954,,,,,,,,,,,,,,,,,,,,,,,,,
Craighead County,Arkansas,104246,1193,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County,Arkansas,62119,1138,,,,,,,,,,,,,,,,,,,,,,,,
Crittenden County,Arkansas,49278,325,,,,,,,,,,,,,,,,,,,,,,,,
Cross County,Arkansas,17164,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas County,Arkansas,7585,,,,,,,,,,,,,,,,,,,,,,,,,
Desha County,Arkansas,12094,,,,,,,,,,,,,,,,,,,,,,,,,
