County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Gallatin County,Montana,100733,1317,,,,,,,,,,,,,,,,,,,,,,,,
Garfield County,Montana,1086,,,,,,,,,,,,,,,,,,,,,,,,,
Glacier County,Montana,13677,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Valley County,Montana,747,,,,,,,,,,,,,,,,,,,,,,,,,
Granite County,Montana,3206,,,,,,,,,,,,,,,,,,,,,,,,,
Hill County,Montana,16468,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Montana,11625,,,,,,,,,,,,,,,,,,,,,,,,,
Judith Basin County,Montana,1965,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County,Montana,29518,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis and Clark County,Montana,66290,440,,,,,,,,,,,,,,,,,,,,,,,,
Liberty County,Montana,2245,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Montana,19249,,,,,,,,,,,,,,,,,,,,,,,,,
McCone County,Montana,1728,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Montana,7902,,,,,,,,,,,,,,,,,,,,,,,,,
Meagher County,Montana,2e3,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Montana,4194,,,,,,,,,,,,,,,,,,,,,,,,,
Missoula County,Montana,114231,1639,,,,,,,,,,,,,,,,,,,,,,,,
Musselshell County,Montana,4766,,,,,,,,,,,,,,,,,,,,,,,,,
Park County,Montana,16001,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum County,Montana,453,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips County,Montana,4139,,,,,,,,,,,,,,,,,,,,,,,,,
Pondera County,Montana,6081,,,,,,,,,,,,,,,,,,,,,,,,,
Powder River County,Montana,1610,,,,,,,,,,,,,,,,,,,,,,,,,
Powell County,Montana,6852,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie County,Montana,1325,,,,,,,,,,,,,,,,,,,,,,,,,
Ravalli County,Montana,41387,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Montana,11405,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt County,Montana,11218,,,,,,,,,,,,,,,,,,,,,,,,,
Rosebud County,Montana,9292,,,,,,,,,,,,,,,,,,,,,,,,,
Sanders County,Montana,11414,60,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan County,Montana,3568,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Bow County,Montana,34514,,,,,,,,,,,,,,,,,,,,,,,,,
Stillwater County,Montana,9342,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Grass County,Montana,3646,,,,,,,,,,,,,,,,,,,,,,,,,
Teton County,Montana,6040,,,,,,,,,,,,,,,,,,,,,,,,,
Toole County,Montana,5031,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure County,Montana,790,,,,,,,,,,,,,,,,,,,,,,,,,
Valley County,Montana,7561,,,,,,,,,,,,,,,,,,,,,,,,,
Wheatland County,Montana,2108,,,,,,,,,,,,,,,,,,,,,,,,,
Wibaux County,Montana,1121,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowstone County,Montana,156332,960,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Nebraska,31564,442,,,,,,,,,,,,,,,,,,,,,,,,
Antelope County,Nebraska,6406,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur County,Nebraska,421,,,,,,,,,,,,,,,,,,,,,,,,,
Banner County,Nebraska,728,,,,,,,,,,,,,,,,,,,,,,,,,
Blaine County,Nebraska,502,,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Nebraska,5357,,,,,,,,,,,,,,,,,,,,,,,,,
Box Butte County,Nebraska,11200,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd County,Nebraska,2049,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Nebraska,3058,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo County,Nebraska,48834,625,,,,,,,,,,,,,,,,,,,,,,,,
Burt County,Nebraska,6546,,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Nebraska,8105,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County,Nebraska,25513,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar County,Nebraska,8561,,,,,,,,,,,,,,,,,,,,,,,,,
Chase County,Nebraska,3803,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry County,Nebraska,5792,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne County,Nebraska,10012,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Nebraska,6264,,,,,,,,,,,,,,,,,,,,,,,,,
Colfax County,Nebraska,10616,,,,,,,,,,,,,,,,,,,,,,,,,
Cuming County,Nebraska,9039,,,,,,,,,,,,,,,,,,,,,,,,,
Custer County,Nebraska,10836,,,,,,,,,,,,,,,,,,,,,,,,,
Dakota County,Nebraska,20529,624,,,,,,,,,,,,,,,,,,,,,,,,
Dawes County,Nebraska,8972,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson County,Nebraska,23925,,,,,,,,,,,,,,,,,,,,,,,,,
Deuel County,Nebraska,1901,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon County,Nebraska,5765,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge County,Nebraska,36576,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Nebraska,549706,18873,27.76,,,18.58,,13.07,,,,,5.13,,,,,,,,,,,,,
Dundy County,Nebraska,2017,,,,,,,,,,,,,,,,,,,,,,,,,
Fillmore County,Nebraska,5603,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Nebraska,3019,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier County,Nebraska,2624,,,,,,,,,,,,,,,,,,,,,,,,,
Furnas County,Nebraska,4814,,,,,,,,,,,,,,,,,,,,,,,,,
Gage County,Nebraska,21632,136,,,,,,,,,,,,,,,,,,,,,,,,
Garden County,Nebraska,1913,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield County,Nebraska,1958,,,,,,,,,,,,,,,,,,,,,,,,,
Gosper County,Nebraska,2019,,,,,,,,,,,,,,,,,,,,,,,,,
Grant County,Nebraska,682,,,,,,,,,,,,,,,,,,,,,,,,,
Greeley County,Nebraska,2436,,,,,,,,,,,,,,,,,,,,,,,,,
Hall County,Nebraska,61233,768,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,Nebraska,9149,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan County,Nebraska,3469,,,,,,,,,,,,,,,,,,,,,,,,,
Hayes County,Nebraska,957,,,,,,,,,,,,,,,,,,,,,,,,,
Hitchcock County,Nebraska,2860,,,,,,,,,,,,,,,,,,,,,,,,,
Holt County,Nebraska,10293,,,,,,,,,,,,,,,,,,,,,,,,,
Hooker County,Nebraska,684,,,,,,,,,,,,,,,,,,,,,,,,,
Howard County,Nebraska,6385,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Nebraska,7276,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Nebraska,5200,,,,,,,,,,,,,,,,,,,,,,,,,
Kearney County,Nebraska,6547,,,,,,,,,,,,,,,,,,,,,,,,,
Keith County,Nebraska,8129,,,,,,,,,,,,,,,,,,,,,,,,,
Keya Paha County,Nebraska,720,,,,,,,,,,,,,,,,,,,,,,,,,
Kimball County,Nebraska,3688,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County,Nebraska,8496,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster County,Nebraska,306357,12981,,,,,,19.86,,,,,,,,,,,,,,,,,,41.41
Lincoln County,Nebraska,35569,,,,,,,,,,,,,,,,,,,,,,,,,
Logan County,Nebraska,919,,,,,,,,,,,,,,,,,,,,,,,,,
Loup County,Nebraska,537,,,,,,,,,,,,,,,,,,,,,,,,,
McPherson County,Nebraska,432,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Nebraska,35062,385,,,,,,,,,,,,,,,,,,,,,,,,
Merrick County,Nebraska,7829,,,,,,,,,,,,,,,,,,,,,,,,,
Morrill County,Nebraska,4903,,,,,,,,,,,,,,,,,,,,,,,,,
Nance County,Nebraska,3569,,,,,,,,,,,,,,,,,,,,,,,,,
Nemaha County,Nebraska,7041,50,,,,,,,100,,,,,,,,,,,,,,,,,
Nuckolls County,Nebraska,4318,,,,,,,,,,,,,,,,,,,,,,,,,
Otoe County,Nebraska,15875,,,,,,,,,,,,,,,,,,,,,,,,,
Pawnee County,Nebraska,2704,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins County,Nebraska,2904,,,,,,,,,,,,,,,,,,,,,,,,,
Phelps County,Nebraska,9163,,,,,,,,,,,,,,,,,,,,,,,,,
Pierce County,Nebraska,7175,,,,,,,,,,,,,,,,,,,,,,,,,
Platte County,Nebraska,32875,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County,Nebraska,5244,,,,,,,,,,,,,,,,,,,,,,,,,
Red Willow County,Nebraska,10870,,,,,,,,,,,,,,,,,,,,,,,,,
Richardson County,Nebraska,8045,,,,,,,,,,,,,,,,,,,,,,,,,
Rock County,Nebraska,1381,,,,,,,,,,,,,,,,,,,,,,,,,
Saline County,Nebraska,14325,411,,,,,,,,,,,,,,,,,,,,,,,,
Sarpy County,Nebraska,175188,4382,,,,,,,,,,,,,,,,,,,,,,,,
Saunders County,Nebraska,20953,,,,,,,,,,,,,,,,,,,,,,,,,
Scotts Bluff County,Nebraska,36509,228,,,,,,,,,,,,,,,,,,,,,,,,
Seward County,Nebraska,17045,105,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan County,Nebraska,5241,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman County,Nebraska,3048,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux County,Nebraska,1256,,,,,,,,,,,,,,,,,,,,,,,,,
Stanton County,Nebraska,6020,16,,,,,,,,,,,,,,,,,,,,,,,,
Thayer County,Nebraska,5133,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas County,Nebraska,643,,,,,,,,,,,,,,,,,,,,,,,,,
Thurston County,Nebraska,7055,50,,,,,,,,,,,,,,,,,,,,,,,,
Valley County,Nebraska,4252,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Nebraska,20414,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County,Nebraska,9409,,,,,,,,,,,,,,,,,,,,,,,,,
Webster County,Nebraska,3597,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler County,Nebraska,846,,,,,,,,,,,,,,,,,,,,,,,,,
York County,Nebraska,13832,,,,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Nevada,24022,586,,,,,,,,,,,,,,,,,,,,,,,,
Clark County,Nevada,2112436,203606,4.88,,,,,14.7,53.37,,,4.51,6.4,,,,,,,,,,,2.85,3.27,5.1
Douglas County,Nevada,47632,708,,,,,,,,,,,,,,,,,,,,,,,,
Elko County,Nevada,52377,,,,,,,,,,,,,,,,,,,,,,,,,
Esmeralda County,Nevada,1102,,,,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Nevada,1728,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Nevada,17088,,,,,,,,,,,,,,,,,,,,,,,,,
Lander County,Nevada,5887,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Nevada,5203,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Nevada,52303,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Nevada,4471,,,,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nevada,43296,733,,,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Nevada,6661,,,,,,,,,,,,,,,,,,,,,,,,,
Storey County,Nevada,3891,,,,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Nevada,445551,23906,11.6,,,,,13.82,42.58,,,,,,,,,,,,,,,,,4.76
White Pine County,Nevada,9858,,,,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada,54219,1326,,,,,,,,,,,,,,,,,,,,,,,,
Belknap County,New Hampshire,60383,579,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County,New Hampshire,47524,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire County,New Hampshire,76109,970,,,,,,,,,,,,,,,,,,,,,,,,
Coos County,New Hampshire,32119,182,,,,,,,,,,,,,,,,,,,,,,,,
Grafton County,New Hampshire,89280,3023,,,,,,36.26,,,,,,,,,,,,,,,,,,
Hillsborough County,New Hampshire,406371,15423,40.92,,,,,15.49,,,,,,,,,,,,,,,,,,
Merrimack County,New Hampshire,147958,2628,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham County,New Hampshire,302479,5808,27.89,,,,,,,,,,,,,,,,,,,,,,,
Strafford County,New Hampshire,126552,4154,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan County,New Hampshire,43073,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic County,New Jersey,272926,22902,29.01,11.03,,,,16.45,12.14,,,,,,,,,,,,,,,,,14.49
Bergen County,New Jersey,937920,152608,24.31,,,,,13.46,14.05,,,3.91,37.48,,,,,,,,,,,,,
Burlington County,New Jersey,449192,21831,46.68,,,,,14.41,14.3,,,,9.75,,,,,,,,,,,,,
Camden County,New Jersey,510996,29500,30.46,,,,,17.64,13.48,,,,9.44,,,,,,,,,,,,,15.87
Cape May County,New Jersey,94549,906,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County,New Jersey,154952,2081,,,,,,,,,,,,,,,,,,,,,,,,
Essex County,New Jersey,800401,41325,34.18,,,,,24.34,22.4,,,,6.46,,,,,,,,,,,,,
Gloucester County,New Jersey,291372,8894,26.14,,,,,,26.57,,,,,,,,,,,,,,,,,
Hudson County,New Jersey,679756,103036,45.53,,,,,16.05,21.32,,,1.59,5.19,,,,,,,,3.89,,,,,
Hunterdon County,New Jersey,125717,4833,35.63,,,,,28.57,,,,,,,,,,,,,,,,,,
Mercer County,New Jersey,373362,40012,51.01,,,,,25.66,,,,,7.99,,,,,,,,,,,,,
Middlesex County,New Jersey,837288,201243,63.54,,,,,14.35,7.73,,,,3.5,,,,,,,,4.97,,,,0.61,
Monmouth County,New Jersey,627551,34255,35.69,,,,,31.56,14.49,,,,7.56,,,,,,,,,,,,,
Morris County,New Jersey,498847,50483,49.18,,,,,22.91,9.69,,,,6.45,,,,,,,,,,,,,
Ocean County,New Jersey,589699,11618,26.79,,,,,14.33,35.9,,,,,,,,,,,,,,,,,
Passaic County,New Jersey,510563,27097,42.67,14.83,,,,10,15.41,,,,8.15,,,,,,,,,,,,,
Salem County,New Jersey,63776,615,,,,,,,,,,,,,,,,,,,,,,,,
Somerset County,New Jersey,333316,57106,52.82,,,,,26.09,8.26,,,,3.88,,,,,,,,,,,,,
Sussex County,New Jersey,143570,2864,,,,,,,,,,,,,,,,,,,,,,,,
Union County,New Jersey,557320,27819,31.77,,,,,24.25,26.92,,,,4.76,,,,,,,,,,,,,
Warren County,New Jersey,107088,3077,,,,,,,,,,,,,,,,,,,,,,,,
Bernalillo County,New Mexico,674855,16770,13.56,,,,,20.18,14.78,,,,,,,,,,,,,,,,,22.45
Catron County,New Mexico,3547,,,,,,,,,,,,,,,,,,,,,,,,,
Chaves County,New Mexico,65454,,,,,,,,,,,,,,,,,,,,,,,,,
Cibola County,New Mexico,27049,,,,,,,,,,,,,,,,,,,,,,,,,
Colfax County,New Mexico,12522,,,,,,,,,,,,,,,,,,,,,,,,,
Curry County,New Mexico,50283,744,,,,,,,,,,,,,,,,,,,,,,,,
De Baca County,New Mexico,2016,,,,,,,,,,,,,,,,,,,,,,,,,
Doña Ana County,New Mexico,213849,2094,,,,,,,,,,,,,,,,,,,,,,,,
Eddy County,New Mexico,56793,,,,,,,,,,,,,,,,,,,,,,,,,
Grant County,New Mexico,28382,,,,,,,,,,,,,,,,,,,,,,,,,
Guadalupe County,New Mexico,4426,,,,,,,,,,,,,,,,,,,,,,,,,
Harding County,New Mexico,546,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo County,New Mexico,4446,,,,,,,,,,,,,,,,,,,,,,,,,
Lea County,New Mexico,69505,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,New Mexico,19497,,,,,,,,,,,,,,,,,,,,,,,,,
Los Alamos County,New Mexico,18031,1074,,,,,,,,,,,,,,,,,,,,,,,,
Luna County,New Mexico,24319,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley County,New Mexico,72849,713,,,,,,,,,,,,,,,,,,,,,,,,
Mora County,New Mexico,4605,,,,,,,,,,,,,,,,,,,,,,,,,
Otero County,New Mexico,65130,876,,,,,,,,,,,,,,,,,,,,,,,,
Quay County,New Mexico,8447,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Arriba County,New Mexico,39455,161,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt County,New Mexico,19313,,,,,,,,,,,,,,,,,,,,,,,,,
Sandoval County,New Mexico,138815,2023,,,,,,,,,,,,,,,,,,,,,,,,
San Juan County,New Mexico,128221,770,,,,,,,,,,,,,,,,,,,,,,,,
San Miguel County,New Mexico,28203,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe County,New Mexico,147514,1855,,,,,,,,,,,,,,,,,,,,,,,,
Sierra County,New Mexico,11254,,,,,,,,,,,,,,,,,,,,,,,,,
Socorro County,New Mexico,17098,,,,,,,,,,,,,,,,,,,,,,,,,
Taos County,New Mexico,32809,,,,,,,,,,,,,,,,,,,,,,,,,
Torrance County,New Mexico,15534,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,New Mexico,4216,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia County,New Mexico,75845,,,,,,,,,,,,,,,,,,,,,,,,,
Albany County,New York,308580,19797,29.54,,,,,28.42,8.5,,,,8.4,,,,,,,,,,,,,
Allegany County,New York,47400,554,,,,,,,,,,,,,,,,,,,,,,,,
Bronx County,New York,1455846,53413,30.49,19,,,,13.62,10.11,,,,4.65,,,,,,,,,,,,,5.7
Broome County,New York,196124,8321,,,,,,35.03,,,,,,,,,,,,,,,,,,
Cattaraugus County,New York,78175,691,,,,,,,,,,,,,,,,,,,,,,,,
Cayuga County,New York,78319,383,,,,,,,,,,,,,,,,,,,,,,,,
Chautauqua County,New York,130846,781,,,,,,,,,,,,,,,,,,,,,,,,
Chemung County,New York,86883,1388,,,,,,,,,,,,,,,,,,,,,,,,
Chenango County,New York,48763,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County,New York,81224,1230,,,,,,,,,,,,,,,,,,,,,,,,
Columbia County,New York,61481,1065,,,,,,,,,,,,,,,,,,,,,,,,
Cortland County,New York,48334,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware County,New York,45950,,,,,,,,,,,,,,,,,,,,,,,,,
Dutchess County,New York,295685,11044,31.73,,,,,30.5,,,,,,,,,,,,,,,,,,
Erie County,New York,923995,31935,27.82,,,,,22.1,3.75,,,,7.81,,,,,,,,,,,,,4.67
Essex County,New York,38233,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,New York,51054,227,,,,,,,,,,,,,,,,,,,,,,,,
Fulton County,New York,53955,388,,,,,,,,,,,,,,,,,,,,,,,,
Genesee County,New York,58537,406,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,New York,47791,505,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,New York,4646,,,,,,,,,,,,,,,,,,,,,,,,,
Herkimer County,New York,62943,330,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,New York,116567,1792,,,,,,,,,,,,,,,,,,,,,,,,
Kings County,New York,2635121,313891,9.75,3.15,,,,66.16,2.81,,,1.59,2.88,,,,,,0.91,,8.04,,0.42,,1.14,1.42
Lewis County,New York,26845,119,,,,,,,,,,,,,,,,,,,,,,,,
Livingston County,New York,64373,888,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,New York,71760,596,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,New York,748680,27603,24.92,,,,,24.92,,,,,7.27,,,,,,,,,,,,,9.84
Montgomery County,New York,49500,381,,,,,,,,,,,,,,,,,,,,,,,,
Nassau County,New York,1363069,123381,39.62,,,,,25.98,8.52,,,1.39,9.88,,,,,,,,7.67,,,,,
New York County,New York,1653877,198496,15.71,,,,,53.48,5.28,,,6.08,9.95,,,,,,,,1.33,,1.42,,1.75,1.24
Niagara County,New York,212675,2130,,,,,,,,,,,,,,,,,,,,,,,,
Oneida County,New York,232324,9323,,,,32.24,,,,,,,,,,,,,,,,,,,,
Onondaga County,New York,467669,18112,20.01,,,,,28.24,,,,,,,,,,,,,,,,,,13.45
Ontario County,New York,109491,1427,,,,,,,,,,,,,,,,,,,,,,,,
Orange County,New York,378174,9863,24.89,,,,,25.09,15.48,,,,,,,,,,,,,,,,,
Orleans County,New York,41584,299,,,,,,,,,,,,,,,,,,,,,,,,
Oswego County,New York,119833,833,,,,,,,,,,,,,,,,,,,,,,,,
Otsego County,New York,60750,829,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County,New York,99464,2225,,,,,,,,,,,,,,,,,,,,,,,,
Queens County,New York,2339280,592247,24.36,7.49,,0.44,,40.12,7.47,,,1.26,8.99,,,,1.13,,0.68,,3.12,,1.11,0.69,1.33,0.74
Rensselaer County,New York,159800,4011,,,,,,38.22,,,,,,,,,,,,,,,,,,
Richmond County,New York,475948,40287,20.47,,,,,39.47,12.25,,,,8.34,,,,,,,,,,,,,
Rockland County,New York,325027,19719,39.63,,,,,17.96,23.71,,,,8.04,,,,,,,,,,,,,
St. Lawrence County,New York,110817,1215,,,,,,34.16,,,,,,,,,,,,,,,,,,
Saratoga County,New York,226632,6398,,,,,,31.45,,,,,,,,,,,,,,,,,,
Schenectady County,New York,155239,7281,48.89,,,,,,,,,,,,,,,,,,,,,,,
Schoharie County,New York,31611,274,,,,,,,,,,,,,,,,,,,,,,,,
Schuyler County,New York,18112,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca County,New York,34843,251,,,,,,,,,,,,,,,,,,,,,,,,
Steuben County,New York,97539,1462,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk County,New York,1497595,58072,30.53,,,,,24.25,9.79,,,2.22,9.67,,,,,,,,12.95,,,,,
Sullivan County,New York,75783,1250,,,,,,,,,,,,,,,,,,,,,,,,
Tioga County,New York,49322,390,,,,,,,,,,,,,,,,,,,,,,,,
Tompkins County,New York,104415,10796,,,,,,50.5,,,,,,,,,,,,,,,,,,
Ulster County,New York,180129,3853,,,,,,,,,,,,,,,,,,,,,,,,
Warren County,New York,64701,652,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,New York,62183,335,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County,New York,91442,620,,,,,,,,,,,,,,,,,,,,,,,,
Westchester County,New York,975321,57584,32.4,,,,,23.45,13.51,,,8.08,9.99,,,,,,,,,,,,,
Wyoming County,New York,40886,149,,,,,,,,,,,,,,,,,,,,,,,,
Yates County,New York,25083,165,,,,,,,,,,,,,,,,,,,,,,,,
Alamance County,North Carolina,157844,2378,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County,North Carolina,37159,428,,,,,,,,98.36,,,,,,,,,,,,,,,,
Alleghany County,North Carolina,10935,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County,North Carolina,25531,303,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County,North Carolina,26833,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County,North Carolina,17535,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County,North Carolina,47316,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County,North Carolina,19913,113,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County,North Carolina,34130,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County,North Carolina,122586,779,,,,,,,,,,,,,,,,,,,,,,,,
Buncombe County,North Carolina,252268,3152,,,,,,,,,,,,,,,,,,,,,,,,
Burke County,North Carolina,88898,3242,,,,,,,,72.42,,,,,,,,,,,,,,,,
Cabarrus County,North Carolina,196716,6021,52.67,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,North Carolina,81805,508,,,,,,,,,,,,,,,,,,,,,,,,
Camden County,North Carolina,10336,,,,,,,,,,,,,,,,,,,,,,,,,
Carteret County,North Carolina,68699,760,,,,,,,,,,,,,,,,,,,,,,,,
Caswell County,North Carolina,22833,130,,,,,,,,,,,,,,,,,,,,,,,,
Catawba County,North Carolina,156182,6419,,,,,,,,54.04,,,,,,,,,,,,,,,,
Chatham County,North Carolina,68364,989,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County,North Carolina,27463,195,,,,,,,,,,,,,,,,,,,,,,,,
Chowan County,North Carolina,14370,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,North Carolina,10753,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County,North Carolina,97038,939,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County,North Carolina,56589,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County,North Carolina,103374,2937,,,,58.94,,,,,,,,,,,,,,,,,,,,
Cumberland County,North Carolina,332766,8299,,,,,,,,,,,22.67,,,,,,,,,,,,,
Currituck County,North Carolina,25247,,,,,,,,,,,,,,,,,,,,,,,,,
Dare County,North Carolina,35412,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson County,North Carolina,164118,2415,,,,,,,,,,,,,,,,,,,,,,,,
Davie County,North Carolina,41766,307,,,,,,,,,,,,,,,,,,,,,,,,
Duplin County,North Carolina,59350,,,,,,,,,,,,,,,,,,,,,,,,,
Durham County,North Carolina,300865,14310,27.42,,,,,32.19,,,,,,,,,,,,,,,,,,
Edgecombe County,North Carolina,54032,,,,,,,,,,,,,,,,,,,,,,,,,
Forsyth County,North Carolina,368362,8033,20.74,,,,,28.03,,,,,,,,,,,,,,,,,,
Franklin County,North Carolina,63866,,,,,,,,,,,,,,,,,,,,,,,,,
Gaston County,North Carolina,214049,3165,,,,,,,,,,,,,,,,,,,,,,,,
Gates County,North Carolina,11601,,,,,,,,,,,,,,,,,,,,,,,,,
Graham County,North Carolina,8607,,,,,,,,,,,,,,,,,,,,,,,,,
Granville County,North Carolina,58503,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,North Carolina,21059,,,,,,,,,,,,,,,,,,,,,,,,,
Guilford County,North Carolina,517197,24752,17.88,,,,,8.94,,,,,,,,,,,,,,,,,,27.04
Halifax County,North Carolina,52300,448,,,,,,,,,,,,,,,,,,,,,,,,
Harnett County,North Carolina,128753,1402,,,,,,,,,,,,,,,,,,,,,,,,
Haywood County,North Carolina,59854,340,,,,,,,,,,,,,,,,,,,,,,,,
Henderson County,North Carolina,112156,1301,,,,,,,,,,,,,,,,,,,,,,,,
Hertford County,North Carolina,24262,168,,,,,,,,,,,,,,,,,,,,,,,,
Hoke County,North Carolina,52571,725,,,,,,,,,,,,,,,,,,,,,,,,
Hyde County,North Carolina,5507,,,,,,,,,,,,,,,,,,,,,,,,,
Iredell County,North Carolina,169798,3955,45.41,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,North Carolina,41725,414,,,,,,,,,,,,,,,,,,,,,,,,
Johnston County,North Carolina,186308,1222,,,,,,,,,,,,,,,,,,,,,,,,
Jones County,North Carolina,9776,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,North Carolina,59805,621,,,,,,,,,,,,,,,,,,,,,,,,
Lenoir County,North Carolina,57934,,,,,,,,,,,,,,,,,,,,,,,,,
