Geography,Total Population,Asian Alone,Asian Alone Share,NHPI Alone,NHPI Alone Share,Asian Alone or Combo,Asian Alone or Combo Share,NHPI Alone or Combo,NHPI Alone or Combo Share
"Danville, IL Metro Area",79207,691,0.87,22,0.03,872,1.1,104,0.13
"Daphne-Fairhope-Foley, AL Metro Area",203360,1405,0.69,0,0,2647,1.3,37,0.02
"Davenport-Moline-Rock Island, IA-IL Metro Area",383141,8207,2.14,71,0.02,10074,2.63,345,0.09
"Dayton, OH Metro Area",800893,16972,2.12,242,0.03,22832,2.85,1158,0.14
"Decatur, AL Metro Area",152445,797,0.52,55,0.04,1160,0.76,55,0.04
"Decatur, IL Metro Area",107587,1223,1.14,5,0,1664,1.55,62,0.06
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",623675,11983,1.92,213,0.03,15216,2.44,654,0.1
"Denver-Aurora-Lakewood, CO Metro Area",2798684,113426,4.05,3644,0.13,144162,5.15,8918,0.32
"Des Moines-West Des Moines, IA Metro Area",623113,24205,3.88,643,0.1,28294,4.54,1024,0.16
"Detroit-Warren-Dearborn, MI Metro Area",4304613,174968,4.06,1163,0.03,204267,4.75,4396,0.1
"Dothan, AL Metro Area",147790,1005,0.68,22,0.01,1451,0.98,85,0.06
"Dover, DE Metro Area",173145,3484,2.01,89,0.05,5568,3.22,660,0.38
"Dubuque, IA Metro Area",96571,1209,1.25,357,0.37,1552,1.61,393,0.41
"Duluth, MN-WI Metro Area",279205,2839,1.02,82,0.03,3981,1.43,238,0.09
"Durham-Chapel Hill, NC Metro Area",550281,26252,4.77,212,0.04,30963,5.63,758,0.14
"East Stroudsburg, PA Metro Area",167306,3788,2.26,31,0.02,4925,2.94,292,0.17
"Eau Claire, WI Metro Area",165833,4425,2.67,413,0.25,5288,3.19,518,0.31
"El Centro, CA Metro Area",179957,2584,1.44,261,0.15,4372,2.43,454,0.25
"Elizabethtown-Fort Knox, KY Metro Area",150253,2416,1.61,326,0.22,3822,2.54,590,0.39
"Elkhart-Goshen, IN Metro Area",202924,2091,1.03,135,0.07,2806,1.38,304,0.15
"Elmira, NY Metro Area",86883,1388,1.6,10,0.01,1677,1.93,25,0.03
"El Paso, TX Metro Area",838527,9628,1.15,979,0.12,15149,1.81,2500,0.3
"Enid, OK Metro Area",62421,487,0.78,1753,2.81,1063,1.7,1776,2.85
"Erie, PA Metro Area",277794,4487,1.62,59,0.02,5801,2.09,339,0.12
"Eugene, OR Metro Area",363471,9324,2.57,877,0.24,15450,4.25,2661,0.73
"Evansville, IN-KY Metro Area",315263,4056,1.29,275,0.09,5183,1.64,418,0.13
"Fairbanks, AK Metro Area",100031,3132,3.13,535,0.53,4807,4.81,873,0.87
"Fargo, ND-MN Metro Area",232660,5707,2.45,66,0.03,7528,3.24,380,0.16
"Farmington, NM Metro Area",128221,770,0.6,75,0.06,1124,0.88,226,0.18
"Fayetteville, NC Metro Area",385337,9024,2.34,924,0.24,14264,3.7,2329,0.6
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",514166,15143,2.95,6089,1.18,18009,3.5,7327,1.43
"Flagstaff, AZ Metro Area",138639,2590,1.87,196,0.14,3673,2.65,682,0.49
"Flint, MI Metro Area",410881,4288,1.04,168,0.04,5780,1.41,435,0.11
"Florence, SC Metro Area",206109,2105,1.02,84,0.04,2594,1.26,166,0.08
"Florence-Muscle Shoals, AL Metro Area",147025,900,0.61,42,0.03,1187,0.81,160,0.11
"Fond du Lac, WI Metro Area",102082,1424,1.39,12,0.01,1769,1.73,88,0.09
"Fort Collins, CO Metro Area",330976,6797,2.05,299,0.09,10872,3.28,641,0.19
"Fort Smith, AR-OK Metro Area",280705,7134,2.54,98,0.03,8363,2.98,269,0.1
"Fort Wayne, IN Metro Area",429060,13223,3.08,151,0.04,15480,3.61,505,0.12
"Fresno, CA Metro Area",971616,97966,10.08,1947,0.2,110155,11.34,4364,0.45
"Gadsden, AL Metro Area",103132,706,0.68,71,0.07,929,0.9,89,0.09
"Gainesville, FL Metro Area",277056,15282,5.52,169,0.06,17897,6.46,595,0.21
"Gainesville, GA Metro Area",192865,3328,1.73,32,0.02,4255,2.21,199,0.1
"Gettysburg, PA Metro Area",101589,727,0.72,0,0,1184,1.17,52,0.05
"Glens Falls, NY Metro Area",126884,987,0.78,33,0.03,1171,0.92,152,0.12
"Goldsboro, NC Metro Area",124496,1479,1.19,28,0.02,2438,1.96,299,0.24
"Grand Forks, ND-MN Metro Area",101694,2052,2.02,104,0.1,2628,2.58,218,0.21
"Grand Island, NE Metro Area",84596,785,0.93,169,0.2,1017,1.2,173,0.2
"Grand Junction, CO Metro Area",148798,1067,0.72,223,0.15,1929,1.3,521,0.35
"Grand Rapids-Wyoming, MI Metro Area",1039182,26384,2.54,217,0.02,33060,3.18,955,0.09
"Grants Pass, OR Metro Area",84514,547,0.65,5,0.01,1363,1.61,279,0.33
"Great Falls, MT Metro Area",81816,734,0.9,75,0.09,1386,1.69,398,0.49
"Greeley, CO Metro Area",285729,3880,1.36,259,0.09,5757,2.01,872,0.31
"Green Bay, WI Metro Area",315847,8216,2.6,19,0.01,9509,3.01,119,0.04
"Greensboro-High Point, NC Metro Area",751590,26870,3.58,426,0.06,29861,3.97,1177,0.16
"Greenville, NC Metro Area",176484,3056,1.73,61,0.03,4189,2.37,146,0.08
"Greenville-Anderson-Mauldin, SC Metro Area",872463,15157,1.74,620,0.07,18953,2.17,1090,0.12
"Gulfport-Biloxi-Pascagoula, MS Metro Area",388082,9140,2.36,100,0.03,11743,3.03,737,0.19
"Hagerstown-Martinsburg, MD-WV Metro Area",261156,3858,1.48,162,0.06,5193,1.99,562,0.22
"Hammond, LA Metro Area",128850,961,0.75,12,0.01,1122,0.87,32,0.02
"Hanford-Corcoran, CA Metro Area",150183,5694,3.79,367,0.24,7714,5.14,664,0.44
"Harrisburg-Carlisle, PA Metro Area",565008,20586,3.64,78,0.01,24622,4.36,778,0.14
"Harrisonburg, VA Metro Area",131717,2724,2.07,97,0.07,3566,2.71,202,0.15
"Hartford-West Hartford-East Hartford, CT Metro Area",1213123,57120,4.71,284,0.02,65974,5.44,1445,0.12
"Hattiesburg, MS Metro Area",148399,1513,1.02,9,0.01,1912,1.29,59,0.04
"Hickory-Lenoir-Morganton, NC Metro Area",364044,10597,2.91,167,0.05,11511,3.16,485,0.13
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",206781,2404,1.16,90,0.04,3388,1.64,260,0.13
"Hinesville, GA Metro Area",79977,1536,1.92,358,0.45,2867,3.58,592,0.74
"Homosassa Springs, FL Metro Area",141373,2354,1.67,7,0,2605,1.84,85,0.06
"Hot Springs, AR Metro Area",97994,498,0.51,8,0.01,883,0.9,302,0.31
"Houma-Thibodaux, LA Metro Area",211179,1785,0.85,80,0.04,2566,1.22,334,0.16
"Houston-The Woodlands-Sugar Land, TX Metro Area",6636208,495899,7.47,3899,0.06,546114,8.23,10325,0.16
"Huntington-Ashland, WV-KY-OH Metro Area",360603,2311,0.64,52,0.01,3318,0.92,108,0.03
"Huntsville, AL Metro Area",444908,10199,2.29,403,0.09,13690,3.08,984,0.22
"Idaho Falls, ID Metro Area",140427,1036,0.74,241,0.17,1913,1.36,405,0.29
"Indianapolis-Carmel-Anderson, IN Metro Area",1989032,57466,2.89,542,0.03,67770,3.41,1661,0.08
"Iowa City, IA Metro Area",166520,9107,5.47,170,0.1,10459,6.28,265,0.16
"Ithaca, NY Metro Area",104415,10796,10.34,30,0.03,12636,12.1,239,0.23
"Jackson, MI Metro Area",158989,1189,0.75,40,0.03,1759,1.11,204,0.13
"Jackson, MS Metro Area",578565,6514,1.13,134,0.02,7688,1.33,327,0.06
"Jackson, TN Metro Area",129538,1150,0.89,0,0,1479,1.14,0,0
"Jacksonville, FL Metro Area",1447884,55273,3.82,1231,0.09,70587,4.88,4009,0.28
"Jacksonville, NC Metro Area",192685,4080,2.12,514,0.27,6735,3.5,1157,0.6
"Janesville-Beloit, WI Metro Area",161226,1899,1.18,26,0.02,2674,1.66,226,0.14
"Jefferson City, MO Metro Area",151056,1440,0.95,48,0.03,1787,1.18,302,0.2
"Johnson City, TN Metro Area",200767,2307,1.15,7,0,2689,1.34,158,0.08
"Johnstown, PA Metro Area",135871,675,0.5,22,0.02,1011,0.74,177,0.13
"Jonesboro, AR Metro Area",128344,1207,0.94,154,0.12,1480,1.15,216,0.17
"Joplin, MO Metro Area",176759,2099,1.19,722,0.41,2754,1.56,1193,0.67
"Kahului-Wailuku-Lahaina, HI Metro Area",164180,47618,29,17506,10.66,76741,46.74,43822,26.69
"Kalamazoo-Portage, MI Metro Area",335020,6705,2,122,0.04,9249,2.76,679,0.2
"Kankakee, IL Metro Area",110801,1081,0.98,42,0.04,1501,1.35,116,0.1
"Kansas City, MO-KS Metro Area",2088830,57102,2.73,2896,0.14,71395,3.42,5829,0.28
"Kennewick-Richland, WA Metro Area",279653,6807,2.43,337,0.12,10081,3.6,1288,0.46
"Killeen-Temple, TX Metro Area",432797,11400,2.63,3415,0.79,18270,4.22,5376,1.24
"Kingsport-Bristol-Bristol, TN-VA Metro Area",306745,1539,0.5,119,0.04,2344,0.76,293,0.1
"Kingston, NY Metro Area",180129,3853,2.14,102,0.06,4757,2.64,206,0.11
"Knoxville, TN Metro Area",862490,12591,1.46,431,0.05,15940,1.85,1239,0.14
"Kokomo, IN Metro Area",82457,1041,1.26,33,0.04,1183,1.43,46,0.06
"La Crosse-Onalaska, WI-MN Metro Area",136291,5294,3.88,31,0.02,5982,4.39,164,0.12
"Lafayette, LA Metro Area",487633,8134,1.67,18,0,9407,1.93,230,0.05
"Lafayette-West Lafayette, IN Metro Area",214760,14931,6.95,68,0.03,16142,7.52,199,0.09
"Lake Charles, LA Metro Area",205559,2716,1.32,7,0,3147,1.53,123,0.06
"Lake Havasu City-Kingman, AZ Metro Area",204691,2528,1.24,272,0.13,3524,1.72,824,0.4
"Lakeland-Winter Haven, FL Metro Area",652256,10945,1.68,278,0.04,14242,2.18,807,0.12
"Lancaster, PA Metro Area",536494,11493,2.14,53,0.01,13989,2.61,417,0.08
"Lansing-East Lansing, MI Metro Area",472092,20781,4.4,167,0.04,25126,5.32,683,0.14
"Laredo, TX Metro Area",269624,1407,0.52,25,0.01,1650,0.61,131,0.05
"Las Cruces, NM Metro Area",213849,2094,0.98,45,0.02,3170,1.48,195,0.09
"Las Vegas-Henderson-Paradise, NV Metro Area",2112436,203606,9.64,15583,0.74,251853,11.92,31546,1.49
"Lawrence, KS Metro Area",117806,5717,4.85,11,0.01,6896,5.85,50,0.04
"Lawton, OK Metro Area",129066,2922,2.26,608,0.47,5430,4.21,1269,0.98
"Lebanon, PA Metro Area",137616,1805,1.31,82,0.06,2245,1.63,130,0.09
"Lewiston, ID-WA Metro Area",62273,563,0.9,50,0.08,909,1.46,121,0.19
"Lewiston-Auburn, ME Metro Area",107317,896,0.83,2,0,1524,1.42,72,0.07
"Lexington-Fayette, KY Metro Area",500689,12782,2.55,173,0.03,16415,3.28,364,0.07
"Lima, OH Metro Area",104157,756,0.73,0,0,1195,1.15,2,0
"Lincoln, NE Metro Area",323402,13086,4.05,198,0.06,15472,4.78,578,0.18
"Little Rock-North Little Rock-Conway, AR Metro Area",730346,11743,1.61,522,0.07,15716,2.15,940,0.13
"Logan, UT-ID Metro Area",133408,2541,1.9,450,0.34,3729,2.8,758,0.57
"Longview, TX Metro Area",216934,2029,0.94,64,0.03,2520,1.16,195,0.09
"Longview, WA Metro Area",103590,1355,1.31,219,0.21,2458,2.37,643,0.62
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13261538,2081686,15.7,37311,0.28,2312404,17.44,75046,0.57
"Louisville/Jefferson County, KY-IN Metro Area",1278203,24367,1.91,544,0.04,30742,2.41,1476,0.12
"Lubbock, TX Metro Area",309722,6388,2.06,200,0.06,8107,2.62,390,0.13
"Lynchburg, VA Metro Area",258995,3902,1.51,94,0.04,4947,1.91,233,0.09
"Macon-Bibb County, GA Metro Area",229966,3489,1.52,42,0.02,4275,1.86,260,0.11
"Madera, CA Metro Area",154440,3303,2.14,224,0.15,4341,2.81,551,0.36
"Madison, WI Metro Area",640072,30353,4.74,248,0.04,35568,5.56,729,0.11
"Manchester-Nashua, NH Metro Area",406371,15423,3.8,139,0.03,18406,4.53,581,0.14
"Manhattan, KS Metro Area",98884,3917,3.96,164,0.17,4828,4.88,265,0.27
"Mankato-North Mankato, MN Metro Area",99244,1952,1.97,12,0.01,2611,2.63,46,0.05
"Mansfield, OH Metro Area",121533,952,0.78,31,0.03,1173,0.97,74,0.06
"McAllen-Edinburg-Mission, TX Metro Area",839539,8295,0.99,187,0.02,9636,1.15,367,0.04
"Medford, OR Metro Area",212070,2545,1.2,612,0.29,4577,2.16,1359,0.64
"Memphis, TN-MS-AR Metro Area",1344058,26928,2,577,0.04,32360,2.41,1735,0.13
"Merced, CA Metro Area",267390,20224,7.56,456,0.17,23476,8.78,1574,0.59
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6019790,147824,2.46,2336,0.04,181614,3.02,9989,0.17
"Michigan City-La Porte, IN Metro Area",110839,646,0.58,38,0.03,961,0.87,61,0.06
"Midland, MI Metro Area",83489,1862,2.23,77,0.09,2216,2.65,186,0.22
"Midland, TX Metro Area",165430,3102,1.88,84,0.05,3890,2.35,245,0.15
"Milwaukee-Waukesha-West Allis, WI Metro Area",1575101,55344,3.51,436,0.03,64327,4.08,1850,0.12
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3526149,225377,6.39,1346,0.04,261632,7.42,5433,0.15
"Missoula, MT Metro Area",114231,1639,1.43,39,0.03,2679,2.35,129,0.11
"Mobile, AL Metro Area",414328,8127,1.96,54,0.01,9354,2.26,187,0.05
"Modesto, CA Metro Area",535684,29488,5.5,3670,0.69,36941,6.9,5826,1.09
"Monroe, LA Metro Area",178970,1624,0.91,79,0.04,1810,1.01,91,0.05
"Monroe, MI Metro Area",149619,946,0.63,10,0.01,1330,0.89,25,0.02
"Montgomery, AL Metro Area",373507,6544,1.75,94,0.03,8818,2.36,399,0.11
"Morgantown, WV Metro Area",137475,3466,2.52,29,0.02,4138,3.01,128,0.09
"Morristown, TN Metro Area",116352,957,0.82,22,0.02,1028,0.88,69,0.06
"Mount Vernon-Anacortes, WA Metro Area",121725,2098,1.72,417,0.34,3866,3.18,1203,0.99
"Muncie, IN Metro Area",115938,1563,1.35,115,0.1,1932,1.67,302,0.26
"Muskegon, MI Metro Area",172707,909,0.53,21,0.01,1662,0.96,90,0.05
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",432772,4581,1.06,427,0.1,6214,1.44,590,0.14
"Napa, CA Metro Area",141005,11150,7.91,297,0.21,13592,9.64,1121,0.8
"Naples-Immokalee-Marco Island, FL Metro Area",356774,4552,1.28,0,0,5801,1.63,77,0.02
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1830410,47672,2.6,1089,0.06,58178,3.18,2843,0.16
"New Bern, NC Metro Area",125953,2983,2.37,120,0.1,3819,3.03,323,0.26
"New Haven-Milford, CT Metro Area",862127,34047,3.95,168,0.02,40016,4.64,655,0.08
"New Orleans-Metairie, LA Metro Area",1260660,36976,2.93,362,0.03,41726,3.31,1002,0.08
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20192042,2195326,10.87,7917,0.04,2392576,11.85,30731,0.15
"Niles-Benton Harbor, MI Metro Area",154948,3050,1.97,67,0.04,3807,2.46,244,0.16
"North Port-Sarasota-Bradenton, FL Metro Area",768381,13771,1.79,456,0.06,17117,2.23,896,0.12
"Norwich-New London, CT Metro Area",270772,11210,4.14,61,0.02,14387,5.31,851,0.31
"Ocala, FL Metro Area",343778,5129,1.49,222,0.06,7105,2.07,426,0.12
"Ocean City, NJ Metro Area",94549,906,0.96,75,0.08,1292,1.37,190,0.2
"Odessa, TX Metro Area",155744,1681,1.08,26,0.02,2011,1.29,62,0.04
"Ogden-Clearfield, UT Metro Area",642274,9522,1.48,2724,0.42,16941,2.64,5230,0.81
"Oklahoma City, OK Metro Area",1353504,42609,3.15,1035,0.08,54486,4.03,2608,0.19
"Olympia-Tumwater, WA Metro Area",269885,15406,5.71,2254,0.84,21760,8.06,4077,1.51
"Omaha-Council Bluffs, NE-IA Metro Area",914190,24104,2.64,593,0.06,30608,3.35,1792,0.2
"Orlando-Kissimmee-Sanford, FL Metro Area",2390859,100762,4.21,1945,0.08,125982,5.27,6451,0.27
"Oshkosh-Neenah, WI Metro Area",169540,4430,2.61,47,0.03,5403,3.19,83,0.05
"Owensboro, KY Metro Area",117319,1385,1.18,0,0,1710,1.46,0,0
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",847834,60986,7.19,1658,0.2,76917,9.07,4517,0.53
"Palm Bay-Melbourne-Titusville, FL Metro Area",568183,13843,2.44,421,0.07,18907,3.33,1377,0.24
"Panama City, FL Metro Area",196135,4287,2.19,86,0.04,6050,3.08,508,0.26
"Parkersburg-Vienna, WV Metro Area",91816,470,0.51,40,0.04,709,0.77,85,0.09
"Pensacola-Ferry Pass-Brent, FL Metro Area",476702,12286,2.58,720,0.15,19683,4.13,2081,0.44
"Peoria, IL Metro Area",377258,8874,2.35,59,0.02,10623,2.82,301,0.08
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6065644,349026,5.75,1977,0.03,393569,6.49,8251,0.14
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4561038,171001,3.75,10322,0.23,218000,4.78,21894,0.48
"Pine Bluff, AR Metro Area",93590,547,0.58,0,0,769,0.82,11,0.01
"Pittsburgh, PA Metro Area",2348143,51988,2.21,840,0.04,63204,2.69,2375,0.1
