District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 19,New York,705473,3191,,,,,3972,1718,,,1202,1618,,,,,,,,,,,,
District 19,Texas,721822,2361,,,,,2254,2366,,,1104,,,,,,,,,,,,,
District 2,Alabama,681443,,,,,,1778,1576,,,,3204,,,,,,,,,,,,
District 2,Arizona,717718,3097,,,,,6965,7349,,,3799,3552,,,,,,,,,,,,4233
District 2,Arkansas,757113,3009,,,,,3490,2176,,,,,,,,,,,,,,,,
District 2,California,717270,4210,,,,,10698,8511,,,5592,2553,,,,,,,,,,,,2617
District 2,Colorado,782425,5615,,,,,10156,3132,,,3935,3876,,,,,,,,,,,,2306
District 2,Connecticut,708127,6705,,,,,9088,4308,,,,2150,,,,,,,,,,,,
District 2,Florida,712695,3664,,,,,2561,3918,,,1190,1968,,,,,,,,,,,,
District 2,Georgia,680145,2401,,,,,,1661,,,,2391,,,,,,,,,,,,
District 2,Hawaii,710433,1959,,,,,80060,175684,,,122131,14397,,,,,2783,,,,,,,2445
District 2,Idaho,808083,2202,,,,,2995,3933,,,3309,,,,,,,,,,,,,
District 2,Illinois,704321,,,,,,,1987,,,,,,,,,,,,,,,,
District 2,Indiana,722649,2371,,,,,3480,2009,,,,,,,,,,,,,,,,
District 2,Iowa,777339,4207,,,476,,5602,2460,,,,2820,,,,,,,,,,,,2236
District 2,Kansas,714182,2996,,,,,3576,2359,,,,1614,,,,,,,,,,,,
District 2,Kentucky,747700,1530,,,2045,,1298,1313,,,,1979,,,,,,,,,,,,
District 2,Louisiana,790128,1636,,,,,,1488,,,,,,,,,,,,,,,,15424
District 2,Maine,655084,,,,,,2153,1650,,,,797,,,,,,,,,,,,
District 2,Maryland,757951,12449,,,,,6865,9083,,,1491,7008,,,,,,,,,,,,2477
District 2,Massachusetts,744002,13687,,,,,10600,2270,,,1826,2762,,,,,,,,,,,,8779
District 2,Michigan,729695,2242,,,,,2537,2701,,,,2358,2445,,,,,,,,,,,4640
District 2,Minnesota,692389,6500,,,,3230,4323,4219,4496,,1032,3127,2616,,,,,,,,,,,7178
District 2,Mississippi,716972,,,,,,,,,,,,,,,,,,,,,,,
District 2,Missouri,762444,12884,,,,,7787,4035,,,1777,2820,,,,,,,,,,,,3559
District 2,Nebraska,652312,5949,,,3624,,3578,2241,,,1538,1730,,,,,,,,,,,,
District 2,Nevada,702115,3692,,,,,5561,17766,,,3657,2536,,,,,,,,,,,,2137
District 2,New Hampshire,661381,6785,,,,,5237,1535,,,,1716,,,,,,,,,,,,
District 2,New Jersey,726894,9342,2611,,,,6179,5559,,,,2397,,,,,,,,,,,,4558
District 2,New Mexico,696944,,,,,,,2823,,,,,,,,,,,,,,,,
District 2,New York,721061,9321,,,,,5238,3459,,,,2190,,,,,,2096,,,,,,
District 2,North Carolina,806396,5369,,,,,3542,3557,,,,2461,,,,,,,,,,,,
District 2,Ohio,726067,4365,,,,,2706,1504,,,,,,,,,,,,,,,,
District 2,Oklahoma,748004,,,,,,,1276,849,,,479,,,,,,,,,,,,916
District 2,Oregon,794957,,,,,,2983,3759,,,2931,2154,,,,,,,,,,,,
District 2,Pennsylvania,716385,8084,,,,,13843,3613,,,1530,4992,,,,,,,,,,,,4446
District 2,Rhode Island,523778,2514,,,,3823,5245,1909,,,,,,,,,,,,,,,,
District 2,South Carolina,697001,4036,,,,,,2624,,,,2650,,,,,,,,,,,,
District 2,Tennessee,732230,3125,,,,,3356,1866,,,,1726,,,,,,,,,,,,
District 2,Texas,767312,12786,,,,,10464,7579,,,,3518,,,,,,,,6153,,,,19330
District 2,Utah,739470,2192,,,,,5538,3857,,,3761,2321,,,,,,,,,,,,2936
District 2,Virginia,738962,4585,,,,,6459,28224,,,2887,4363,,,,,,,,,,,,3384
District 2,Washington,715426,7076,,,,3628,12081,20214,,,7699,10839,,,,,,,,,,,,11339
District 2,West Virginia,623720,1688,,,,,,1809,,,,,,,,,,,,,,,,
