County,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
Bollinger County,Missouri,50,,,0,,
Bon Homme County,South Dakota,98,,,0,,
Bond County,Illinois,196,,,0,,
Bonner County,Idaho,296,,,24,,
Bonneville County,Idaho,943,,,168,,
Boone County,Arkansas,189,,,32,,
Boone County,Illinois,627,,,0,,
Boone County,Indiana,1493,,,0,,
Boone County,Iowa,99,,,139,,
Boone County,Kentucky,2745,,,0,,
Boone County,Missouri,7104,2776,49.83,199,,
Boone County,Nebraska,7,,,7,,
Boone County,West Virginia,40,,,0,,
Borden County,Texas,0,,,0,,
Bosque County,Texas,57,,,0,,
Bossier Parish,Louisiana,1876,,,180,,
Botetourt County,Virginia,283,,,0,,
Bottineau County,North Dakota,22,,,0,,
Boulder County,Colorado,13597,3995,42.18,271,,
Boundary County,Idaho,57,,,49,,
Bourbon County,Kansas,126,,,0,,
Bourbon County,Kentucky,66,,,0,,
Bowie County,Texas,899,,,34,,
Bowman County,North Dakota,0,,,0,,
Box Butte County,Nebraska,30,,,31,,
Box Elder County,Utah,417,,,44,,
Boyd County,Kentucky,180,,,0,,
Boyd County,Nebraska,18,,,0,,
Boyle County,Kentucky,233,,,0,,
Bracken County,Kentucky,32,,,0,,
Bradford County,Florida,159,,,6,,
Bradford County,Pennsylvania,341,,,14,,
Bradley County,Arkansas,0,,,0,,
Bradley County,Tennessee,1102,,,32,,
Branch County,Michigan,230,,,16,,
Brantley County,Georgia,127,,,25,,
Braxton County,West Virginia,0,,,27,,
Brazoria County,Texas,20366,5339,34.81,21,,
Brazos County,Texas,12103,4260,43.49,83,,
Breathitt County,Kentucky,29,,,0,,
Breckinridge County,Kentucky,71,,,0,,
Bremer County,Iowa,274,,,4,,
Brevard County,Florida,13310,3695,45.27,400,,
Brewster County,Texas,145,,,0,,
Briscoe County,Texas,0,,,16,,
Bristol Bay Borough,Alaska,13,,,3,,
Bristol city,Virginia,6,,,0,,
Bristol County,Massachusetts,11387,3564,40.76,269,,
Bristol County,Rhode Island,1010,,,10,,
Broadwater County,Montana,0,,,0,,
Bronx County,New York,50321,22302,55.11,882,,
Brooke County,West Virginia,102,,,39,,
Brookings County,South Dakota,891,,,9,,
Brooks County,Georgia,130,,,4,,
Brooks County,Texas,0,,,0,,
Broome County,New York,8074,2394,38.8,71,,
Broomfield County,Colorado,3912,906,34.14,0,,
Broward County,Florida,64310,18622,41.98,1052,,
Brown County,Illinois,41,,,0,,
Brown County,Indiana,119,,,0,,
Brown County,Kansas,57,,,10,,
Brown County,Minnesota,177,,,24,,
Brown County,Nebraska,12,,,0,,
Brown County,Ohio,111,,,2,,
Brown County,South Dakota,933,,,0,,
Brown County,Texas,223,,,0,,
Brown County,Wisconsin,7182,2455,43.19,19,,
Brule County,South Dakota,17,,,0,,
Brunswick County,North Carolina,743,,,123,,
Brunswick County,Virginia,89,,,0,,
Bryan County,Georgia,523,,,27,,
Bryan County,Oklahoma,214,,,32,,
Buchanan County,Iowa,111,,,0,,
Buchanan County,Missouri,881,,,117,,
Buchanan County,Virginia,107,,,0,,
Buckingham County,Virginia,56,,,13,,
Bucks County,Pennsylvania,27233,7628,37.55,22,,
Buena Vista city,Virginia,475,,,0,,
Buena Vista County,Iowa,1615,,,164,,
Buffalo County,Nebraska,618,,,1,,
Buffalo County,South Dakota,0,,,26,,
Buffalo County,Wisconsin,4,,,0,,
Bullitt County,Kentucky,494,,,59,,
Bulloch County,Georgia,1039,,,16,,
Bullock County,Alabama,52,,,0,,
Buncombe County,North Carolina,2950,,,251,,
Bureau County,Illinois,240,,,3,,
Burke County,Georgia,63,,,0,,
Burke County,North Carolina,3004,,,113,,
Burke County,North Dakota,1,,,0,,
Burleigh County,North Dakota,641,,,40,,
Burleson County,Texas,59,,,0,,
Burlington County,New Jersey,20522,5536,35.99,171,,
Burnet County,Texas,328,,,0,,
Burnett County,Wisconsin,47,,,4,,
Burt County,Nebraska,28,,,0,,
Butler County,Alabama,212,,,0,,
Butler County,Iowa,63,,,9,,
Butler County,Kansas,686,,,13,,
Butler County,Kentucky,15,,,3,,
Butler County,Missouri,281,,,10,,
Butler County,Nebraska,39,,,0,,
Butler County,Ohio,10147,3635,45.55,277,,
Butler County,Pennsylvania,2057,,,66,,
Butte County,California,9566,3795,49.92,424,,
Butte County,Idaho,0,,,0,,
Butte County,South Dakota,0,,,0,,
Butts County,Georgia,140,,,18,,
Cabarrus County,North Carolina,5473,,,113,,
