District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 23,California,26257,514800,475300,594800,1040800
District 23,Florida,22620,,369900,396800,1268e3
District 23,New York,8038,,,,587900
District 23,Texas,7010,,,,397300
District 24,California,19897,171e3,336e3,532800,949900
District 24,Florida,7377,,,,305300
District 24,New York,11051,332100,154100,111100,507800
District 24,Texas,70181,518100,798300,903700,4798e3
District 25,California,42328,269800,452400,1046700,2463900
District 25,Florida,6591,,,,327100
District 25,New York,16842,335900,214200,226100,908e3
District 25,Texas,14789,,,,1035100
District 26,California,36815,228500,420700,869300,2163e3
District 26,Florida,10654,,219700,180300,439100
District 26,New York,15911,373800,151600,207200,858500
District 26,Texas,32775,281800,336700,529500,2129500
District 27,California,209291,3869100,3676300,3760900,9622800
District 27,Florida,10959,,,,688500
District 27,New York,5047,,,,301700
District 27,Texas,8071,,154600,165400,375300
District 28,California,75183,517500,842700,1611200,4546900
District 28,Texas,5481,,,,220300
District 29,California,43255,443300,587100,1226e3,2069100
District 29,Texas,8417,188900,,,330700
District 3,Alabama,7725,,,,430800
District 3,Arizona,8292,122900,135700,239400,331200
District 3,Arkansas,14070,219400,248200,234800,704600
District 3,California,50952,825100,908200,1354600,2007300
District 3,Colorado,3628,,,,166600
District 3,Connecticut,20651,171e3,253800,239e3,1401300
District 3,Florida,15453,,188600,269800,941100
District 3,Georgia,9191,,169200,246500,411100
District 3,Illinois,21907,393100,485300,356800,955500
District 3,Indiana,9034,268e3,152e3,145e3,338400
District 3,Iowa,15756,349900,281700,316200,627800
District 3,Kansas,21950,283400,254700,326400,1330500
District 3,Kentucky,12565,192800,178800,218400,666500
District 3,Louisiana,7543,236300,185900,,212400
District 3,Maryland,38935,367e3,505900,577800,2442800
District 3,Massachusetts,38629,674700,667300,497700,2023200
District 3,Michigan,8621,161900,170900,163700,365600
District 3,Minnesota,33374,434200,400900,681600,1820700
District 3,Mississippi,5135,,,,290800
District 3,Missouri,5225,,,,294100
District 3,Nebraska,2938,,,,
District 3,Nevada,77187,654700,1484300,2285400,3294300
District 3,New Jersey,18874,184e3,227e3,332300,1144100
District 3,New Mexico,6149,,,121400,362e3
District 3,New York,78748,660400,1193900,1267700,4752800
District 3,North Carolina,7063,,,144200,223500
District 3,Ohio,19578,408800,344700,284300,92e4
District 3,Oklahoma,7213,127e3,,178600,297300
District 3,Oregon,39500,904300,734800,911800,1399100
District 3,Pennsylvania,4453,117200,88800,,198900
District 3,South Carolina,3663,,,,173900
District 3,Tennessee,6423,,,,328400
District 3,Texas,78843,406800,571400,889e3,6017100
District 3,Utah,8320,,,190700,484500
District 3,Virginia,13489,248900,298500,281100,520400
District 3,Washington,16896,239800,282500,500900,666400
District 3,West Virginia,2285,,,,150900
District 3,Wisconsin,7682,161900,162900,240100,203300
District 30,California,71509,552800,905600,1605900,4086600
District 30,Texas,10267,,,230100,466500
District 31,California,40145,451100,590200,960800,2012400
District 31,Texas,26358,209900,311e3,478300,1636600
District 32,California,100772,2030100,1819900,2359900,3867300
District 32,Texas,43538,782300,601100,828700,2141700
District 33,California,70442,209e3,487200,1152900,5195100
District 33,Texas,11119,372800,212900,213600,312600
District 34,California,115266,1758800,2169400,2422700,5175700
District 34,Texas,2792,,,,161300
District 35,California,37338,431700,669600,945e3,1687500
District 35,Texas,8571,,,,379800
District 36,California,18367,239600,374400,531200,691500
District 36,Texas,10417,,,165300,574700
District 37,California,54119,304800,522e3,1025900,3559200
District 38,California,83953,872200,124e4,2039200,4243900
District 39,California,163599,1172100,1993100,3355100,9839600
District 4,Alabama,2850,,,,
District 4,Arizona,7214,,,211800,278400
