District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 4,Pennsylvania,,,,,
District 4,South Carolina,,,,,
District 4,Tennessee,,,,,
District 4,Texas,,,,,
District 4,Utah,5643,,,,
District 4,Virginia,,,,,
District 4,Washington,,,,,
District 4,Wisconsin,,,,,
District 40,California,,,,,
District 41,California,1419,,,,
District 42,California,2066,,,,
District 43,California,2196,,,,
District 44,California,3108,,,,
District 45,California,,,,,
District 46,California,,,,,
District 47,California,2921,,,,
District 48,California,1941,,,,
District 49,California,,,,,
District 5,Alabama,433,,,,
District 5,Arizona,1275,,,,
District 5,California,2634,,,,
District 5,Colorado,1597,,,,
District 5,Connecticut,,,,,
District 5,Florida,,,,,
District 5,Georgia,,,,,
District 5,Illinois,,,,,
District 5,Indiana,,,,,
District 5,Kentucky,,,,,
District 5,Louisiana,,,,,
District 5,Maryland,,,,,
District 5,Massachusetts,,,,,
District 5,Michigan,,,,,
District 5,Minnesota,,,,,
District 5,Missouri,1217,,,,
District 5,New Jersey,,,,,
District 5,New York,,,,,
District 5,North Carolina,,,,,
District 5,Ohio,,,,,
District 5,Oklahoma,,,,,
District 5,Oregon,2128,,,,
District 5,Pennsylvania,,,,,
District 5,South Carolina,,,,,
District 5,Tennessee,,,,,
District 5,Texas,,,,,
District 5,Virginia,,,,,
District 5,Washington,1408,,,,
District 5,Wisconsin,,,,,
District 50,California,2380,,,,
District 51,California,1824,,,,
District 52,California,,,,,
District 53,California,3263,,,,
District 6,Alabama,,,,,
District 6,Arizona,,,,,
District 6,California,6997,,240800,27e4,
District 6,Colorado,952,,,,
District 6,Florida,,,,,
District 6,Georgia,,,,,
District 6,Illinois,,,,,
District 6,Indiana,,,,,
District 6,Kentucky,,,,,
District 6,Louisiana,,,,,
District 6,Maryland,,,,,
District 6,Massachusetts,,,,,
District 6,Michigan,,,,,
District 6,Minnesota,,,,,
District 6,Missouri,,,,,
District 6,New Jersey,,,,,
District 6,New York,,,,,
District 6,North Carolina,,,,,
District 6,Ohio,,,,,
District 6,Pennsylvania,,,,,
District 6,South Carolina,,,,,
District 6,Tennessee,,,,,
District 6,Texas,777,,,,
District 6,Virginia,,,,,
District 6,Washington,2767,,,,
District 6,Wisconsin,,,,,
District 7,Alabama,,,,,
District 7,Arizona,1063,,,,
District 7,California,3827,,,,
District 7,Colorado,,,,,
District 7,Florida,,,,,
District 7,Georgia,,,,,
District 7,Illinois,,,,,
District 7,Indiana,,,,,
District 7,Maryland,,,,,
